Link to PDF,Name of Entity,Reported Date,State Reported
https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Automotive_Recovery_Serv_48AC34718D7E7.pdf,"Automotive Recovery Services, Inc.",2015,Iowa
https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Bulk_Reef_Supply_Inc_6682C3B9334B4.pdf,"Bulk Reef Supply, Inc.",2015,Iowa
https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Bulk_Reef_Supply_Inc_711B640E0D742.pdf,"Bulk Reef Supply, Inc. Supplement",2015,Iowa
https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_CICS_Employment_Services_DFF412CC6C493.pdf,"CICS Employment Services, Inc.",2015,Iowa
https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Copart_Inc_9D6A8A40B5618.pdf,Copart Inc.,2015,Iowa
https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_CVS_Pharmacy_34DC1D4592208.pdf,CVS Pharmacy,2015,Iowa
https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Delaware_Department_of_J_83D9454FEEAA4.pdf,"Delaware Department of Justice, Investor Protection Unit",2015,Iowa
https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_EyeBuyDirect_Inc_AD19805D6842C.pdf,"EyeBuyDirect, Inc.",2015,Iowa
https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Hard_Rock_Hotel__Casino__9F300141D7C2C.pdf,Hard Rock Hotel & Casino Las Vegas,2015,Iowa
https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Hilton_Worldwide_Inc_71D84C298B35F.pdf,"Hilton Worldwide, Inc.",2015,Iowa
https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Honigs_Whistle_Stop_06DBDDCAE4DE3.pdf,Honig's Whistle Stop,2015,Iowa
https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_FE5D96ABBABCA.pdf,HSBC Finance Corporation,2015,Iowa
https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Medical_Informatics_Engi_0D507088015D2.pdf,Medical Informatics Engineering,2015,Iowa
https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Medical_Informatics_Engi_BF25D0A2C7B09.pdf,Medical Informatics Engineering Supplement,2015,Iowa
https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Montefiore_Health_System_E0C8C7F51C59B.pdf,Montefiore Health System,2015,Iowa
https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Park_N_Fly_6B6A2A7DBFDDB.pdf,Park 'N Fly,2015,Iowa
https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Premera_Blue_Cross_DEA89AD58AEA3.pdf,Premera Blue Cross,2015,Iowa
https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Premera_Blue_Cross_SUPPL_A2242A6BC4B49.pdf,Premera Blue Cross Supplement,2015,Iowa
https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Sally_Beauty_Holdings_B7344EDF38ECB.pdf,Sally Beauty Holdings,2015,Iowa
https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Service_Systems_Associat_3284876E8FCFE.pdf,"Service Systems Associates, Inc.",2015,Iowa
https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Shell_Vacations_Club_LLC_2493D85AE8348.pdf,Shell Vacations Club LLC,2015,Iowa
https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Snappy_Popcorn_B28D916E97BF2.pdf,Snappy Popcorn,2015,Iowa
https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Staples_Inc_A02C1DAD5994B.pdf,"Staples, Inc.",2015,Iowa
https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_SterlingBackcheck_05ACBD2185220.pdf,Sterling Backcheck,2015,Iowa
https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_SterlingBackcheck__SUPPL_E9B786D49EC1A.pdf,Sterling Backcheck Supplement,2015,Iowa
https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_The_Lifetime_Healthcare__35C0CEDA38A3D.pdf,The Lifetime Healthcare Companies,2015,Iowa
https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_TMobile_USA_Inc_F1E25EE24F343.pdf,"T-Mobile USA, Inc.",2015,Iowa
https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_TMobile_USA_Inc__SUPPLEM_83786F57B94A9.pdf,"T-Mobile USA, Inc. Supplement",2015,Iowa
https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Trustmark_Mutual_Holding_91C6D19BCA647.pdf,Trustmark Mutual Holding Company,2015,Iowa
https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_UCLA_Health_59CDCD11A75BE.pdf,UCLA Health,2015,Iowa
https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_The_Wendys_Company_1CAD4F2A3FFAD.pdf,The Wendy's Company,2015,Iowa
https://www.iowaattorneygeneral.gov/media/cms/21st_Century_Oncology_E7FC6670722FE.pdf,21st Century Oncology,2016,Iowa
https://www.iowaattorneygeneral.gov/media/cms/ACTIVEOutdoors_7E1F4328919F2.pdf,ACTIVEOutdoors,2016,Iowa
https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Advance_Auto_Parts_7F7E42A9674E2.pdf,Advance Auto Parts,2016,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Atlantis_Paradise_Island_1121_3EF3DA2A00FAE.pdf,"Atlantis, Paradise Island",2016,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Banner_Health_164A51E6EC1F6.pdf,Banner Health,2016,Iowa
https://www.iowaattorneygeneral.gov/media/cms/CiCi_Enterprises_LP_F44B52FDE0DF4.pdf,"CiCi Enterprises, LP",2016,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Costco_Photo_Center_8D4C008A4E28E.pdf,Costco Photo Center,2016,Iowa
https://www.iowaattorneygeneral.gov/media/cms/doTERRA_9EFF8F7234507.pdf,doTERRA,2016,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Eddie_Bauer_LLC_D2B1E25622778.pdf,"Eddie Bauer, LLC",2016,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Empathia_Inc_09F3539138074.pdf,"Empathia, Inc.",2016,Iowa
https://www.iowaattorneygeneral.gov/media/cms/EqualizeRCM_Systems_44C0499C4F704.pdf,EqualizeRCM Systems,2016,Iowa
https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Gyft_Inc_1D96022ACE68E.pdf,"Gyft, Inc.",2016,Iowa
https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_HK_Financial_Services_A4FB7464BD89C.pdf,HK Financial Services,2016,Iowa
https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Hyatt_Hotels_Corporation_3C57C6038A754.pdf,Hyatt Hotels Corporation,2016,Iowa
https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_JB_Autosports_D321757573C3D.pdf,JB Autosports,2016,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Katherman_Kitts__Co_2DDF81C369DA8.pdf,Katherman Kitts & Co. LLP,2016,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Kimpton_Hotels__Restaurants_66C5B75BA133B.pdf,Kimpton Hotels & Restaurants,2016,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Landrys_Inc_BED01DF5E14E1.pdf,"Landry's, Inc.",2016,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Luther_College_BB96B482B4CCB.pdf,Luther College,2016,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Madison_Square_Garden_Company_MSG_A656862878901.pdf,Madison Square Garden Company (MSG),2016,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Mercy_Iowa_City_AAAC2BC13CCA0.pdf,Mercy Iowa City,2016,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Michigan_State_University_7C774A2AD60C4.pdf,Michigan State University,2016,Iowa
https://www.iowaattorneygeneral.gov/media/cms/NJ_Spine_Center_708B3D2E09FB9.pdf,New Jersey Spine Center,2016,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Noodles__Company_2416BB8D0C9CB.pdf,Noodles & Company,2016,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Olympia_Hotel_Management_LLC_B0CE39525DB01.pdf,"Olympia Hotel Management, LLC",2016,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Omni_Hotels__Resorts_7495183F561CB.pdf,Omni Hotels & Resorts,2016,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Quality_Food_Service_Inc_C915FD2761484.pdf,"Quality Food Service, Inc. [Wendy's]",2016,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Schwaab_Inc_6B764F1B33490.pdf,"Schwaab, Inc.",2016,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Schwans_Home_Service_Inc_B6B79D386509B.pdf,Schwan's Home Service Inc. [Schwan's],2016,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Scottrade_90C8A9AF476F0.pdf,Scottrade,2016,Iowa
https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Seim_Johnson_LLP_19E0257A7766D.pdf,"Seim Johnson, LLP",2016,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Stamford_Podiatry_Group_9E8CF8437F4D7.pdf,Stamford Podiatry Group,2016,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Vera_Bradley_556087752A89A.pdf,Vera Bradley,2016,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Western_Union_Financial_Services_5146A7CE2A5B1.pdf,Western Union Financial Services,2016,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Spiraledge_Inc_E732AA7666A5C.pdf,"Spiraledge, Inc.",2017-01-12 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/CoPilot_Provider_Support_Services_7C161E85A2A9E.pdf,CoPilot Provider Support Services,2017-01-18 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Municipal_Fire__Police_Retirement_S_9503A4CC92760.pdf,Municipal Fire & Police Retirement System,2017-02-06 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Intex_Recreation_Corp_72FF341617BB7.pdf,Intex Recreation Corp.,2017-02-22 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Abbott_Nutrition_9EA21977867F6.pdf,Abbott Nutrition,2017-02-23 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Rods_Western_Palace_DB3B30C40050F.pdf,Rod's Western Palace,2017-02-24 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Aptos_Inc_33AF10146A727.pdf,"Aptos, Inc.",2017-02-25 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Ambassador_Title_Services_76610C961A0BE.pdf,Ambassador Title Services,2017-02-28 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/DRI_Title__Escrow_13855F8C642DC.pdf,DRI Title & Escrow,2017-02-28 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/West_Music_Company_C205048B592F6.pdf,West Music Company,2017-03-03 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/prAna_55E7F931188F7.pdf,prAna,2017-03-08 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Faller_Kincheloe__Co_05C11BEF099C6.pdf,"Faller, Kincheloe & Co., PLC",2017-03-13 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Easy_Breathe_Inc_B283412472222.pdf,"Easy Breathe, Inc.",2017-03-27 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Lincoln_Savings_Bank_094223C94114F.pdf,Lincoln Savings Bank,2017-03-31 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Great_Lakes_Communication_Corp_22419AF705F3D.pdf,Great Lakes Communication Corp.,2017-04-06 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/University_of_Iowa_Community_Credit_6162079588BE7.pdf,University of Iowa Community Credit Union,2017-04-12 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Six_Continents_Hotels_Inc_58E9B2467DD2D.pdf,"Six Continents Hotels, Inc.",2017-04-14 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Gannett_Company_Inc_9F9AE233E1850.pdf,"Gannett Company, Inc.",2017-04-28 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Brooks_Brothers_438E9040B8A13.pdf,Brooks Brothers,2017-05-11 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/TALX_Corporation_7083913FA4B8A.pdf,TALX Corporation,2017-05-15 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Chipotle_Mexican_Grill_Inc_4CC7CBE746D73.pdf,Chipotle Mexican Grill Inc.,2017-05-26 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/BMO_Harris_Bank_6E908DC3996A9.PDF,BMO Harris Bank,2017-05-31 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Henniges_Automotive_BB7E97B9C0FAE.pdf,Hennings Automotive,2017-06-02 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/GameStop_Inc_4AB946B76F136.pdf,"GameStop, Inc.",2017-06-05 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/SMH_Enterprises_LLC_93F0392DDA554.pdf,SMH Enterprises LLC,2017-06-09 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Washington_State_University_770A5E7DA41D6.pdf,Washington State University,2017-06-09 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/HillPhoenix_1483E7465FA53.pdf,HillPhoenix,2017-06-20 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/KayserRoth_Inc_83AC701A84E69.PDF,"Kayser-Roth, Inc.",2017-06-20 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Frank_G_1837A9F0F004F.pdf,"Frank G. Becika, PLC",2017-06-21 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Calibur_Home_Loans_7D1F8D52CDFAA.pdf,"Calibur Home Loans, Inc.",2017-06-23 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Loews_Hotels__Co_B68394CC18C52.pdf,Loews Hotels & Co.,2017-07-05 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Keller_Williams_Realty_Inc_5674CBEDD92A7.pdf,Keller Williams Realty Inc.,2017-07-18 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Value_Eyecare_Network_Inc_E3A071810CCB4.pdf,Value Eyecare Networks Inc. dba 39dollarglasses.com,2017-07-21 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Avanti_Markets_Inc_2691269E75206.pdf,Avanti Markets Inc.,2017-07-24 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Equifax_data_breach_AA7E0598553F8.pdf,Equifax Inc.,2017-09-07 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Bulletproof_360_Inc_76CC196ECB887.pdf,"Bulletproof 360, Inc.",2017-09-15 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/W_4FCD83E1BF572.pdf,"W. W. Grainger, inc.",2017-09-18 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Cheddars_Casual_Cafe_Inc_854B1808F033D.pdf,"Cheddar's Casual Cafe, Inc.",2017-09-29 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/FlexShopper_LLC_87C0E781FF7DF.pdf,FlexShopper LLC,2017-10-03 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Sonic_DriveIn_1EE6129342B45.pdf,Sonic Corp,2017-10-05 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Catholic_United_Financial_C7B09748E175B.pdf,Catholic United Financial,2017-10-06 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/EquifaxUpdate101217_E131C88B05BFB.pdf,Equifax Inc (update),2017-10-12 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Iowa_Lottery_2ACAFE29214CC.pdf,Iowa Lottery,2017-10-13 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Pizza_Hut_Corporate_CF37633C79A4F.pdf,Pizza Hut LLC,2017-10-16 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Iowa_Dept_DCC96774E981C.pdf,Iowa Department of Human Services,2017-10-23 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Tween_Brands_Inc_A6BFD4165EF60.pdf,"Tween Brands, Inc.",2017-11-03 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Gallagher_NAC_D9FC58BDAE112.pdf,"Gallagher NAC (""GNAC"")",2017-11-13 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Uber_Technologies_Inc_FD2221ADAFA7E.pdf,"Uber Technologies, Inc.",2017-11-21 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/IH_Mississippi_Valley_Credit_Union__551179F35D664.pdf,"IH Mississippi Valley Credit Union (""IHMVCU"")",2017-12-01 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Forever_21_Inc_97DC6D638149C.pdf,"Forever 21, Inc.",2017-12-28 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Deli_Management_Inc_533E914E3BED9.pdf,"Deli Management, Inc. dba Jason's Deli, Inc.",2018-01-11 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/Guaranteed_Rate_Inc_31E27EA9FFC7B.pdf,"Guaranteed Rate, Inc.",2018-01-12 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/PAR_Electrical_Contractors_Inc_18C583B1E1AD4.pdf,"PAR Electrical Contractors, Inc.",2018-02-05 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/022318__Mize_Houser__Company_P_41C8BE8226FA6.pdf,"Mize Houser & Company, P.A.",2018-02-23 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/022618_MoneyGram_International_492F28468D3E6.pdf,"MoneyGram International, Inc.",2018-02-26 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/022718_FastHealth_Corporation_BC593E160E538.pdf,FastHealth Corporation,2018-02-27 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/030118_Centris_Federal_Credit_Union_C682106B3D20B.pdf,Centris Federal Credit Union,2018-03-01 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/3_1_18_Equifax_Release_57FAF2457AB92.pdf,Equifax - Updated information,2018-03-01 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/032018_Orbitz_8D82B14DCDE12.pdf,Orbitz,2018-03-20 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/040618__Blue_Beacon_International__36F6DE9E03DAD.pdf,Blue Beacon International,2018-04-06 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/041118__Delta_Airlines_Inc_81510CC6FC048.pdf,Delta Airlines Inc.,2018-04-11 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/041218__Polk_County_Health_Services_E55EC3071BF90.pdf,Polk County Health Services Inc.,2018-04-12 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/041318__Best_Buy_Co_F61B3BB0A0BFC.pdf,"Best Buy Co., Inc.",2018-04-13 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/050218_SunTrust_Banks_Inc_7E181E23BE1CD.pdf,"SunTrust Banks, Inc.",2018-05-02 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/050318__Sears_Holdings_Company_6719C0B53918A.pdf,Sears Holdings Company,2018-05-03 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/050818__Global_University_E544FFD008C77.pdf,Global University,2018-05-08 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/051018__Taco_Johns_of_Iowa_4430BCF902146.pdf,Taco John's of Iowa,2018-05-10 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/051418_TaskRabbit_Inc_EE8A8F7A0F3E5.pdf,"TaskRabbit, Inc.",2018-05-14 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/051818__Brinker_International_CE1B5C659E651.pdf,Brinker International,2018-05-18 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/051818__corporation_Service_Company_131C4BB7EC731.pdf,Corporation Service Company (CSC),2018-05-18 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/052218__Updated_Data_Breach_Notific_3A96889DB7AB8.pdf,"Deli Management, Inc. dba Jason's Deli, Inc. - Updated Information",2018-05-22 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/060118__Transamerica_Life_Insurance_1C0B2186A3994.pdf,"Transamerica Life Insurance Company and Transamerica Retirement Solutions, LLC",2018-06-01 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/060718__AH_2005_Management_LP_B75090AE65225.pdf,"AH 2005 Management, LP",2018-06-07 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/060718__Systeme_Software_Inc_B78EE91A29699.pdf,"Systeme Software, Inc.",2018-06-07 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/061118__Marion_County_Bank_51A8A08A7DFB6.pdf,Marion County Bank,2018-06-11 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/061218__Corporation_Service_Company_086C008F9A006.pdf,Corporation Service Company (CSC) - Updated Information,2018-06-12 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/070318__Coty_Inc_CF2216531CBB4.pdf,"Coty, Inc.",2018-07-03 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/070618__International_Mission_Board_0DE36C87FC222.pdf,International Mission Board (IMB),2018-07-06 00:00:00,Iowa
https://www.iowaattorneygeneral.gov/media/cms/071318_ComplyRight_Inc_12DFEF77192AB.pdf,"ComplyRight, Inc.",2018-07-13 00:00:00,Iowa
