Name of Entity,Start Date of Breach,Individuals Affected,State Reported,Data Stolen,Date Notice Provided to Consumers,Date(s) of Discovery of Breach,Dates of Breach,Details,End Date of Breach,Entity Type,Industry,Link to PDF,Location of Breached Information,Parent Company,Reported Date,Type of Breach,Website
"a&a global imports, inc.","Based upon A&A’s investigation to date, it appears that information entered on its website may have been exposed at various points in time, including from August 15, 2017 to January 4, 2019.",52441.0,['Maine'],UNK,"Once A&A’s forensic investigation revealed a breach impacting Maine residents, and had restored the integrity and security of the impacted systems, A&A prepared to notify those impacted individuals. Notifications to the impacted individuals in Maine were sent by U.S. Mail on January 9, 2019.","A&A was notified of suspicious activity on August 17, 2018 and immediately launched a forensic investigation.  The forensic investigation concluded on December 7, 2018, revealing a breach impacting Maine residents.","Based upon A&A’s investigation to date, it appears that information entered on its website may have been exposed at various points in time, including from August 15, 2017 to January 4, 2019.",,,Other Commercial ,Distilled beverages,,,Suntory,,7,www.beamsuntory.com
"a&a global imports, inc.",a,,['Oregon'],UNK,2019-01-09 00:00:00,,,,,,Distilled beverages,,,Suntory,2019-01-14 00:00:00,7,www.beamsuntory.com
"a&a ready mixed concrete, inc.",2016-05-16 00:00:00,,['California'],UNK,,,05/16/2016,,,,,https://oag.ca.gov/ecrime/databreach/reports/sb24-61962,,,2016-05-24 00:00:00,7,
a&amp;a global imports inc.,2019-01-09 00:00:00,,['Maryland'],UNK,,,1/9/2019,,,,AutomotiveEnergy storage,,,,,1,Tesla.com
a&m llc,2017-04-01 00:00:00,1.0,['Maine'],UNK,2017-05-16 00:00:00,,2017-04-01 00:00:00,,,,"Consulting, tax services",,,,,7,www.ryan.com
a-one touch registers,2016-05-01 00:00:00,11.0,['Maine'],UNK,2016-06-14 00:00:00,,2016-05-01 00:00:00,,,,,,,,,7,
"a.c.t.services,inc.",2016-09-01 00:00:00,428.0,['Indiana'],UNK,2016-12-20 00:00:00,,2016-09-01 00:00:00,,,,Telecommunications Technology Mass media Entertainment,,,,,7,.att.com
a.o.s. #77,"November 21, 2018",1285.0,['Maine'],UNK,December 7,"Nobember 26, 2018","November 21, 2018",,,Educational ,,,,,,7,www.77s.com
a.s.k.servicesinc.,2018-01-24 00:00:00,229.0,['Indiana'],UNK,2018-01-25 00:00:00,,2018-01-24 00:00:00,,,,Service,,,Cintas(2017–present)[3],,7,www.gkservices.com
"a.w. hastings & co., llc ",2011-12-08 00:00:00,,['New Hampshire'],UNK,,,"December 08, 2011",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/aw-hastings-20111208.pdf,,,,7,
a1 j. schneider company,12/21/16-4/11/17,4.0,['Maine'],UNK,2017-07-26 00:00:00,,12/21/16-4/11/17,,,,,,,,,7,
aaa business supplies,2018-04-08 00:00:00,,['California'],UNK,,,04/08/2018,,,,Aerospace,https://oag.ca.gov/ecrime/databreach/reports/sb24-137064,,ST Engineering,2018-06-13 00:00:00,7,
aaa life insurance company,2016-08-04 00:00:00,,['Maryland'],UNK,,,8/4/2016,,,,"Automotive services, insurance, banking, travel, hospitality inspections",,,,,6,www.aaa.com
aacorthodonticspc,2016-09-07 00:00:00,9.0,['Indiana'],UNK,2016-09-13 00:00:00,,2016-09-07 00:00:00,,,,,,,,,7,
"aaron's, ",2011-10-18 00:00:00,,['New Hampshire'],UNK,,,October 18 2011,,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/aarons-20111018.pdf,,,,7,
"aaronj.butler,attorneyatlaw",2017-06-22 00:00:00,303.0,['Indiana'],UNK,2017-07-14 00:00:00,,2017-06-22 00:00:00,,,,,,,,,7,
ab acquisition llc,2014-07-17 00:00:00,,['Maine'],UNK,2014-08-15 00:00:00,,2014-07-17 00:00:00,,,,Retail / Grocery,,,,,7,www.albertsons.com
ab acquisition llc (shaw's) ,2014-08-15 00:00:00,,['New Hampshire'],UNK,,,"August 15, 2014",,,,Retail / Grocery,https://www.doj.nh.gov/consumer/security-breaches/documents/ab-acquisition-20140815.pdf,,,,7,www.albertsons.com
ab acquisition llc (shaw's) ,2014-08-29 00:00:00,,['New Hampshire'],UNK,,,"August 29, 2014",,,,Retail / Grocery,https://www.doj.nh.gov/consumer/security-breaches/documents/ab-acquisition-20140829.pdf,,,,7,www.albertsons.com
ab acquisition llc (shaw's) ,2014-09-29 00:00:00,,['New Hampshire'],UNK,,,"September 29, 2014",,,,Retail / Grocery,https://www.doj.nh.gov/consumer/security-breaches/documents/ab-acquisition-20140929.pdf,,,,7,www.albertsons.com
"ab acquisition llc, parent company of new albertson's inc.  (21 stores under the shaw's banner in maine)",8/27/14 through 9/21/14,,['Maine'],UNK,2014-09-29 00:00:00,,8/27/14 through 9/21/14,,,,,,,,,7,
"abb, inc.",2016-02-05 00:00:00,566.0,['Indiana'],UNK,2016-03-17 00:00:00,,2016-02-05 00:00:00,,,,,,,,,7,
"abb, inc.",2016-03-16 00:00:00,,['Maryland'],UNK,,,3/16/2016,,,,Biopharmaceutical,,,,,7,abbvie.com
"abb, inc.",2017-08-25 00:00:00,28012.0,"['Maine', 'California', 'Indiana']",UNK,2017-09-11 00:00:00,,2017-08-25 00:00:00,,,,,,,,,7,
"abb, inc.",2017-09-11 00:00:00,13.0,"['Maryland', 'New Hampshire']",UNK,,,9/11/2017,,,,Biopharmaceutical,,,,,1,abbvie.com
abbott laboratories,2014-12-01 00:00:00,,['California'],UNK,,,12/01/2014,,,,Health care,https://oag.ca.gov/ecrime/databreach/reports/sb24-49420,,,2015-04-17 00:00:00,7,www.abbott.com
abbott laboratories,2016-06-22 00:00:00,1.0,['Indiana'],UNK,2016-07-19 00:00:00,,2016-06-22 00:00:00,,,,Health care,,,,,7,www.abbott.com
abbott laboratories,2019-01-19 00:00:00,,['California'],UNK,,,01/19/2019,,,,Health care,https://oag.ca.gov/ecrime/databreach/reports/sb24-144435,,,2019-02-05 00:00:00,7,www.abbott.com
abbott laboratories,2019-02-05 00:00:00,,['New Hampshire'],UNK,,,"February 5, 2019",,,,Health care,https://www.doj.nh.gov/consumer/security-breaches/documents/abbott-laboratories-20190205.pdf,,,,7,www.abbott.com
abbott laboratories,"Between Jan. 9, 2019 and Jan. 19, 2019",16600.0,['Maine'],UNK,"Feb. 6, 2019","Jan. 19, 2019","Between Jan. 9, 2019 and Jan. 19, 2019",,,Other Commercial ,Health care,,,,,7,www.abbott.com
"abbott medical optics inc., ",2010-02-01 00:00:00,,['New Hampshire'],UNK,,,"February 01, 2010",,,,Ophthalmology,https://www.doj.nh.gov/consumer/security-breaches/documents/abbott-medical-20100201.pdf,,Johnson & Johnson,,7,inc.com
abbott nutrition,(Discovered 2/6/17),242.0,['Maine'],UNK,2017-02-23 00:00:00,,(Discovered 2/6/17),,,,,,,,,7,
abbott nutrition,2013-06-01 00:00:00,,['Washington'],UNK,,,06/2013 to 12/2016,,2016-12-01 00:00:00,,Health care,https://agportal-s3bucket.s3.amazonaws.com/Breach%20Abbott%20Nutrition%202017-02-23.pdf,,,2017-02-23 00:00:00,7,www.abbott.com
abbott nutrition,2017-02-23 00:00:00,2742.0,"['Maryland', 'New Hampshire']",UNK,,,2/23/2017,,,,Health care,,,,,1,www.abbott.com
abbott nutrition,a,,['Oregon'],UNK,2017-02-23 00:00:00,2017-02-06 00:00:00,,,,,Health care,,,,2017-02-24 00:00:00,7,www.abbott.com
abc carpet & home,1/2/17-8/9/17,9.0,['Maine'],UNK,2017-10-09 00:00:00,,1/2/17-8/9/17,,,,Television syndication,,,Walt Disney Direct-to-Consumer and International(The Walt Disney Company),,7,
"abc carpet and home, ",2017-10-09 00:00:00,,['New Hampshire'],UNK,,,"October 09, 2017",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/abc-carpet-home-20171009.pdf,,,,7,
"abc phones of north carolina, inc. dba victra",2018-04-13 00:00:00,11.0,"['Maryland', 'New Hampshire']",UNK,,,4/13/2018,,,,,,,,,1,
abcbuscompaniesinc,2018-02-16 00:00:00,741.0,['Indiana'],UNK,2018-03-02 00:00:00,,2018-02-16 00:00:00,,,,,,,,,7,
abcbuscompaniesinc,2018-03-01 00:00:00,,['Maryland'],UNK,,,3/1/2018,,,,,,,FirstGroup,,1,www.greyhound.com
abcbuscompaniesinc,2018-03-02 00:00:00,,['New Hampshire'],UNK,,,March 02. 2018,,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/abc-bus-20180302.pdf,,FirstGroup,,7,www.greyhound.com
"abel womack, ",2016-03-09 00:00:00,,['New Hampshire'],UNK,,,"March 09, 2016",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/abel-womack-20160309.pdf,,,,7,
"abel womack, inc.",2016-03-01 00:00:00,2.0,['Maine'],UNK,2016-03-07 00:00:00,,2016-03-01 00:00:00,,,,,,,,,7,
"abeles & hoffman, pc, ",2018-02-13 00:00:00,,['New Hampshire'],UNK,,,"February 13, 2018",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/abeles-20180213.pdf,,,,7,
abeles &amp; hoffman p.c.,2018-02-26 00:00:00,1.0,['Maryland'],UNK,,,2/26/2018,,,,,,,,,1,
abeles&hoffman,2017-09-26 00:00:00,237.0,['Indiana'],UNK,2018-02-13 00:00:00,,2017-09-26 00:00:00,,,,,,,,,7,
"abercrombie & fitch, ",2015-04-15 00:00:00,,['New Hampshire'],UNK,,,"April 15, 2015",,,,Retail,https://www.doj.nh.gov/consumer/security-breaches/documents/abercrombie-fitch-20150415.pdf,,,,7,abercrombie.com
abercrombie &amp; fitch,2015-04-15 00:00:00,2.0,['Maryland'],UNK,,,4/15/2015,,,,,,,,,1,
aberdeen proving ground federal credit union,2018-01-26 00:00:00,36.0,['Maryland'],UNK,,,1/26/2018,,,,,,,,,1,
abernathy &amp; company,2016-05-31 00:00:00,2.0,['Maryland'],UNK,,,5/31/2016,,,,,,,,,1,
"abilene telco fcu, ",2011-10-10 00:00:00,,['New Hampshire'],UNK,,,"October 10, 2011",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/abilene-telco-fcu-20111010.pdf,,,,7,
abm industries inc.,2016-04-06 00:00:00,1.0,['Maryland'],UNK,,,4/6/2016,,,,Facility services,,,,,1,ABM.com
abm industries inc.,2017-11-14 00:00:00,,['New Hampshire'],UNK,,,"November 14, 2017",,,,Facility services,https://www.doj.nh.gov/consumer/security-breaches/documents/abm-20171114.pdf,,,,7,ABM.com
abm industries inc.,2018-03-08 00:00:00,,['New Hampshire'],UNK,,,"March 08, 2018",,,,Facility services,https://www.doj.nh.gov/consumer/security-breaches/documents/abm-20180308.pdf,,,,7,ABM.com
abm industries incorporated,1/8/18 - 8/7/18,42366.0,['Maine'],UNK,2019-03-12 00:00:00,2018-06-14 00:00:00,1/8/18 - 8/7/18,,,Other Commercial ,Facility services,,,,,7,ABM.com
abm industries incorporated,1/8/2018,,['Oregon'],UNK,"Monday, November 13, 2017","Tuesday, August 1, 2017
Tuesday, October 17, 2017",1/8/2018 - 8/7/2018,,8/7/2018,,Facility services,,,,03/12/2019,7,ABM.com
abm industries incorporated,2015-12-10 00:00:00,121.0,['Indiana'],UNK,2016-06-20 00:00:00,,2015-12-10 00:00:00,,,,,,,,,7,
abm industries incorporated,2017-07-07 00:00:00,,"['California', 'Oregon']",UNK,,,07/07/2017,,,,Facility services,https://oag.ca.gov/ecrime/databreach/reports/sb24-104263,,,2017-11-14 00:00:00,7,ABM.com
abm industries incorporated,2017-11-13 00:00:00,192.0,['Maryland'],UNK,,,11/13/2017,,,,Facility services,,,,,1,ABM.com
abm industries incorporated,2018-01-08 00:00:00,,"['California', 'Oregon']",UNK,,,"01/08/2018, 08/07/2018",,2018-08-07 00:00:00,,Facility services,https://oag.ca.gov/ecrime/databreach/reports/sb24-145390,,,2019-03-12 00:00:00,7,ABM.com
abm industries incorporated,7/7/2017,,['Oregon'],UNK,"Monday, November 13, 2017","Tuesday, August 1, 2017
Tuesday, October 17, 2017",7/7/2017,,,,Facility services,,,,11/14/2017,7,ABM.com
abm industries incorporated,Unspecified,,['Washington'],UNK,,,Unspecified,,,,Facility services,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/ABMIndustriesIncorporated.2018-03-08.pdf,,,2018-03-08 00:00:00,7,ABM.com
"abm industries incorporated, one liberty plaza",Discovered 8/1/17,1.0,['Maine'],UNK,2017-11-14 00:00:00,,Discovered 8/1/17,,,,,,,,,7,
"abm industries incorporated, one liberty plaza",Supplement to 11/14/17 Notice,4.0,['Maine'],UNK,2018-03-13 00:00:00,,Supplement to 11/14/17 Notice,,,,,,,,,7,
"abm mechanical, inc.",5/9/18 - 6/11/18,137.0,['Maine'],UNK,2018-07-25 00:00:00,,5/9/18 - 6/11/18,,,,,,,,,7,
abm parking services,2014-09-29 00:00:00,,['California'],UNK,,,"09/29/2014, 11/18/2014",,2014-11-18 00:00:00,,Facility services,https://oag.ca.gov/ecrime/databreach/reports/sb24-47710,,,2014-12-12 00:00:00,7,ABM.com
abnbfederalcreditunion,2017-01-12 00:00:00,293.0,['Indiana'],UNK,2017-01-24 00:00:00,,2017-01-12 00:00:00,,,,,,,,,7,
abnbfederalcreditunion,2017-01-24 00:00:00,2.0,['Maryland'],UNK,,,1/24/2017,,,,,,,,,1,
"abod &amp; caruso, llc",2018-05-25 00:00:00,1080.0,['Maryland'],UNK,,,5/25/2018,,,,,,,,,1,
abound wealth,2019-01-28 00:00:00,8.0,['Maryland'],UNK,,,1/28/2019,,,,,,,,,1,
"abre hospitality (outrigger), ",2017-07-21 00:00:00,,['New Hampshire'],UNK,,,"July 21, 2017",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/sabre-hospitality-outrigger-20170721.pdf,,,,7,
abrhllc,2016-03-18 00:00:00,,['Indiana'],UNK,2016-05-20 00:00:00,,2016-03-18 00:00:00,,,,,,,,,7,
"abs associates, inc.",2017-03-27 00:00:00,,['Maryland'],UNK,,,3/27/2017,,,,Mass media,,,López Holdings Corporation,,1,cbn.com
"absolutecredit, llc",11/19/2014 (Discovered on 2/26/15),42.0,['Maine'],UNK,2015-03-04 00:00:00,,11/19/2014 (Discovered on 2/26/15),,,,,,,,,7,
abundant health,2018-06-05 00:00:00,32.0,['Maine'],UNK,9/17/2018-1/24/2019,2018-09-07 00:00:00,6/5/2018,,,Other Commercial ,,,,,,7,
academy of art university,2016-04-12 00:00:00,5.0,"['Maryland', 'New Hampshire']",UNK,,,4/12/2016,,,,,,,,,1,
academy of art university,3/04/16 (discovered 4/05/16),2.0,['Maine'],UNK,2016-04-12 00:00:00,,3/04/16 (discovered 4/05/16),,,,,,,,,7,
academy of art unversity,2016-03-04 00:00:00,,['California'],UNK,,,03/04/2016,,,,,https://oag.ca.gov/ecrime/databreach/reports/sb24-60936,,,2016-04-13 00:00:00,7,
academy of art unversity dba stephens institute,2017-11-08 00:00:00,,['California'],UNK,,,11/08/2017,,,,,https://oag.ca.gov/ecrime/databreach/reports/sb24-110849,,,2017-11-17 00:00:00,7,
academy of model aeronaut (paper),2016-09-01 00:00:00,20.0,['Maine'],UNK,2017-04-17 00:00:00,,2016-09-01 00:00:00,,,,,,,,,7,
academy of nutrition and dietetics,2016-07-22 00:00:00,13.0,['Maryland'],UNK,,,7/22/2016,,,,,,,,,1,
academy of nutrition and dietetics,2016-08-02 00:00:00,,['New Hampshire'],UNK,,,"August 02, 2016",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/academy-nutrition-dietetics-20160802.pdf,,,,7,
academymortgagecorporation,2018-03-09 00:00:00,7.0,['Maryland'],UNK,,,3/9/2018,,,,,,,,,1,
academymortgagecorporation,2018-05-21 00:00:00,357.0,['Indiana'],UNK,2018-08-31 00:00:00,,2018-05-21 00:00:00,,,,,,,,,7,
academymortgagecorporation,2018-08-31 00:00:00,3.0,['Maryland'],UNK,,,8/31/2018,,,,,,,,,1,
academyofnutritiondietetics,2016-04-22 00:00:00,665.0,['Indiana'],UNK,2016-08-04 00:00:00,,2016-04-22 00:00:00,,,,,,,,,7,
academyofnutritiondietetics,4/22/16-4/24/16,,['Maine'],UNK,2016-08-04 00:00:00,,4/22/16-4/24/16,,,,,,,,,7,
accenture,2017-10-12 00:00:00,,['New Jersey'],UNK,,,"OCTOBER 12, 2017",,,,Professional servicesTechnology services,,,,,7,www.accenture.com
accenture federal services,2017-11-28 00:00:00,6.0,['Maryland'],UNK,,,11/28/2017,,,,Professional servicesTechnology services,,,,,2,www.accenture.com
acceptanceinsurance,2016-03-22 00:00:00,1.0,['Indiana'],UNK,2016-04-25 00:00:00,,2016-03-22 00:00:00,,,,Insurance,,,,,7,www.markelcorp.com
acceptanceinsurance,2016-04-25 00:00:00,,['Maryland'],UNK,,,4/25/2016,,,,Financial services,,,,,1,www.ally.com
access group education lending,2018-03-23 00:00:00,16500.0,['Wisconsin'],UNK,April 2018,,"March 23, 2018",,,,,,,,,7,
access group education lending,"March 23, 2018",16500.0,['Wisconsin'],UNK,April 2018,,"March 23, 2018",,,,,,,,,7,
access inmate package,2013-02-01 00:00:00,3.0,['Maine'],UNK,2013-03-19 00:00:00,,2013-02-01 00:00:00,,,,,,,,,7,
"access, ",2012-11-07 00:00:00,,['New Hampshire'],UNK,,,"November 07, 2012",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/4access-20121107.pdf,,,,7,
accesslex institute d/b/a access group,2018-03-23 00:00:00,,['California'],UNK,,,03/23/2018,,,,,https://oag.ca.gov/ecrime/databreach/reports/sb24-135410,,,2018-04-18 00:00:00,7,
acclaim technical services,2015-08-26 00:00:00,,['California'],UNK,,,08/26/2015,,,,,https://oag.ca.gov/ecrime/databreach/reports/sb24-59396,,,2015-12-23 00:00:00,7,
"acclaim technical services, inc.",2015-12-22 00:00:00,,['Maryland'],UNK,,,12/22/2015,,,,,,,,,1,
"acclaim technical services, inc., (""ats"")",Recently discovered,1.0,['Maine'],UNK,2015-12-23 00:00:00,,Recently discovered,,,,,,,,,7,
"accolade, inc.",2017-01-17 00:00:00,1.0,['Maine'],UNK,2017-01-23 00:00:00,,2017-01-17 00:00:00,,,,,,,,,7,
"accolade, inc.",2017-01-23 00:00:00,3.0,['Maryland'],UNK,,,1/23/2017,,,,Video game industry,,,Infogrames (1999–2000),,1,www.accolade.com
"account control technology, inc.",2016-01-26 00:00:00,9.0,['Maryland'],UNK,,,1/26/2016,,,,,,,,,7,
"account control technology, inc.",2016-12-28 00:00:00,,['Maryland'],UNK,,,12/28/2016,,,,,,,,,1,
"account control technology, inc. (act)",2015-12-28 00:00:00,2.0,['Maine'],UNK,2016-01-23 00:00:00,,2015-12-28 00:00:00,,,,,,,,,7,
"accucom corporation, ",2012-02-22 00:00:00,,['New Hampshire'],UNK,,,"February 22, 2012",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/accucom-20120222.pdf,,,,7,
"accuform manufacturing, inc.",2015-06-30 00:00:00,,['Oregon'],UNK,2015-10-19 00:00:00,2015-09-21 00:00:00,6/30/2015,,,,,,,,2015-11-03 00:00:00,7,
"accuform manufacturing, inc.",2015-10-26 00:00:00,,['Maryland'],UNK,,,10/26/2015,,,,,,,,,7,
"accuform manufacturing, inc.",6/30/2015,,['Oregon'],UNK,"Monday, October 19, 2015","Monday, September 21, 2015",6/30/2015,,,,,,,,11/03/2015,7,
"accuform manufacturing, inc. and safety marketing services, llc",As early as 6/30/15 - Discovered 9/21/15,,['Maine'],UNK,2015-10-20 00:00:00,,As early as 6/30/15 - Discovered 9/21/15,,,,,,,,,7,
accuform signs,2015-06-30 00:00:00,,['California'],UNK,,,06/30/2015,,,,,https://oag.ca.gov/ecrime/databreach/reports/sb24-58598,,,2015-11-02 00:00:00,7,
accume partners,2012-10-31 00:00:00,,['California'],UNK,,,10/31/2012,,,,,https://oag.ca.gov/ecrime/databreach/reports/sb24-37161,,,2012-12-10 00:00:00,7,
"ace cash express, inc.",10/27/18-11/16/18,4360.0,['Maine'],UNK,12/14/18,11/16/18,10/27/18-11/16/18,,,Financial Services ,Financial Services,,,,,7,www.acecashexpress.com
"ace cash express, inc.",2018-10-27 00:00:00,4360.0,"['California', 'Indiana']",UNK,,,10/27/2018,,,,Financial Services,https://oag.ca.gov/ecrime/databreach/reports/sb24-142669,,,2018-12-14 00:00:00,7,www.acecashexpress.com
"ace cash express, inc.",2018-12-14 00:00:00,6.0,['Maryland'],UNK,,,12/14/2018,,,,Financial Services,,,,,1,www.acecashexpress.com
"ace surgical supply co., inc.                                                                                                                                                                                         ",2015-08-25 00:00:00,89.0,['Maryland'],UNK,,,8/25/2015,,,,,,,,,7,
"ace surgical supply co., inc.                                                                                                                                                                                         ",Not specified,7.0,['Maine'],UNK,2015-09-04 00:00:00,,Not specified,,,,,,,,,7,
"ace surgical supply, ",2015-09-15 00:00:00,,['New Hampshire'],UNK,,,"September 15, 2015",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/ace-surgical-supply-20150915.pdf,,,,7,
acer service corporation,2015-05-12 00:00:00,,"['California', 'Oregon']",UNK,,,05/12/2015,,,,Computer hardwareElectronics,https://oag.ca.gov/ecrime/databreach/reports/sb24-62344,,,2016-06-14 00:00:00,7,www.acer.com
acer service corporation,2016-06-01 00:00:00,831.0,['Maryland'],UNK,,,6/1/2016,,,,Computer hardwareElectronics,,,,,7,www.acer.com
acer service corporation,2016-06-03 00:00:00,,['New Hampshire'],UNK,,,"June 03, 2016",,,,Computer hardwareElectronics,https://www.doj.nh.gov/consumer/security-breaches/documents/acer-service-20160603.pdf,,,,7,www.acer.com
acer service corporation,5/12/2015,,['Oregon'],UNK,"Friday, June 3, 2016","Tuesday, April 26, 2016",5/12/2015,,,,Computer hardwareElectronics,,,,06/14/2016,7,www.acer.com
acer.com 2542984530,"October, 2016",5.0,['Maine'],UNK,2016-11-29 00:00:00,,"October, 2016",,,,,,,,,7,
"acima credit, llc",2018-12-14 00:00:00,13.0,['Maryland'],UNK,,,12/14/2018,,,,,,,,,7,
acme car wash and clearwater express,2017-02-06 00:00:00,,['California'],UNK,,,"02/06/2017, 02/07/2017, 02/08/2017, 02/09/2017, 02/10/2017, 02/11/2017, 02/12/2017, 02/13/2017, 02/14/2017, 02/15/2017, 02/16/2017, 03/17/2017, 02/18/2017, 02/19/2017, 02/20/2017, 02/21/2017, 02/22/2017, 02/23/2017",,2017-02-23 00:00:00,,,https://oag.ca.gov/ecrime/databreach/reports/sb24-67429,,,2017-04-10 00:00:00,7,
"acosta, inc. (mosaic sales solutions us operating co. llc), ",2014-12-12 00:00:00,,['New Hampshire'],UNK,,,"December 12, 2014",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/acosta-20141212.pdf,,,,7,
"acosta, inc. and its subsidiaries, including mosaic sales solutions us operating co. llc",2014-11-10 00:00:00,,['California'],UNK,,,11/10/2014,,,,,https://oag.ca.gov/ecrime/databreach/reports/sb24-47713,,,2014-12-12 00:00:00,7,
"acquis consulting group llc,   ",2018-12-20 00:00:00,,['New Hampshire'],UNK,,,"December 20, 2018",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/acquis-consulting-20181220.pdf,,,,7,
"acronis, inc.",2016-03-04 00:00:00,,['New Hampshire'],UNK,,,"March 04, 2016",,,,Software,https://www.doj.nh.gov/consumer/security-breaches/documents/acronis-20160304.pdf,,,,7,www.acronis.com
"acronis, inc.",2016-03-08 00:00:00,7.0,['Maryland'],UNK,,,3/8/2016,,,,Software,,,,,7,www.acronis.com
acsia partners llc,2017-03-30 00:00:00,7.0,['Maryland'],UNK,,,3/30/2017,,,,,,,,,4,
actagrollc,2016-06-10 00:00:00,114.0,['Indiana'],UNK,2016-08-09 00:00:00,,2016-06-10 00:00:00,,,,,,,,,7,
