Link to PDF,Dates of Breach,Name of Entity,State Reported,Source(s),Start Date of Breach,End Date of Breach
https://www.doj.nh.gov/consumer/security-breaches/documents/aetrex-20190122.pdf,"January 22, 2019","Aetrex Worldwide, Inc.,  ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2019-01-22 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/affinity-gaming-20140516.pdf,May 16 2014,"Affinity Gaming, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2014-05-16 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/affinity-gaming-20131219.pdf,"December 19, 2013","Affinity Gaming, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2013-12-19 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/affy-tapple-20170224.pdf,"February 24, 2017","Affy Tapple, LLC, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2017-02-24 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/aflac-20180928.pdf,"September 28, 2018","Aflac, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2018-09-28 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/aflac-20151003.pdf,"October 03, 2016","Aflac, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2016-10-03 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/ag-source-20190205.pdf,"February 05, 2019","AG Source, Inc.,  ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2019-02-05 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/agenus-20160419.pdf,"April 19, 2016","Agenus, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2016-04-19 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/agri-beef-20170511.pdf,"May 11, 2017",Agri Beef Co.,New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2017-05-11 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/agri-supply-20190301.pdf,"March 1, 2019","Agri Supply,    ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2019-03-01 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/ahw-llc-20131111.pdf,"November 11, 2013","AHW LLC, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2013-11-11 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/ahw-20130522.pdf,May 22 2013,"AHW LLC, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2013-05-22 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/airborn-20140613.pdf,June 13 2014,"AirBorn, Inc., ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2014-06-13 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/aim-20160426.pdf,"April 2, 2016","AIM, Inc., ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2016-04-02 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/aimbridge-20190103.pdf,"January 3, 2019","Ambridge Hospitality Holdings, LLC, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2019-01-03 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/aimbridge-20180607.pdf,"June 07, 2018","Aimbridge Hospitality Holdings, LLC, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2018-06-07 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/air-canada-20180831.pdf,"August 31, 2018","Air Canada, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2018-08-31 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/airway-oxygen-20170602.pdf,"June 02, 2017","Airway Oxygen, Inc., ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2017-06-02 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/airway-oxygen-20170530.pdf,"May 30, 2017","Airway Oxygen, Inc., ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2017-05-30 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/akira-20170901.pdf,"September 01, 2017","Akira, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2017-09-01 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/akorn-20150604.pdf,"June 04, 2015","Akorn, Inc., ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2015-06-04 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/akwa-vista-20190206.pdf,"February 06, 2019","Akwa Vista LLC,  ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2019-02-06 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/alaska-airlines-20180503.pdf,"May 03, 2018","Alaska Airlines, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2018-05-03 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/alaska-communications-20140224.pdf,"February 24,  2014","Alaska Communications Systems Holdings, Inc., ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2014-02-24 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/alere-20121030.pdf,"October 30, 2012","Alere Home Monitoring, Inc., ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2012-10-30 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/alfa-insurance-20150710.pdf,"July 10, 2015","Alfa Specialty Insurance Corporation and Alfa Vision Insurance Corporation, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2015-07-10 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/al-farabi-kazakh-20190123.pdf,"January 23, 2019","Al-Farabi Kazakh National University,  ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2019-01-23 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/alin-machining-20150112.pdf,"January 12, 2015","Alin Machining Company Inc dba Power Plant Services, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2015-01-12 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/alliance-workplace-solutions-20141024.pdf,"October 24, 2014","Alliance Workplace Solutions, LLC, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2014-10-24 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/alliedbarton-20130716.pdf,"July 16, 2013","AlliedBarton Security Services LLC, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2013-07-16 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/allied-minds-20170224.pdf,"February 24, 2017","Allied Minds, LLC, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2017-02-24 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/alm-media-20190123.pdf,"January 23, 2019","ALM Media, LLC,  ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2019-01-23 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/alpha-industries-20171026.pdf,"October 26, 2017","Alpha Industries, Inc., ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2017-10-26 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/alpha-industries-20171002.pdf,"October 02, 2017","Alpha Industries, Inc., ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2017-10-02 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/alpha-payroll-20160429.pdf,"April 29, 2016","Alpha Payroll Services, LLC, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2016-04-29 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/alta-ski-lifts-20150309.pdf,"March 09, 2015","Alta Ski Lifts, Co., ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2015-03-09 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/alton-lane-20180110.pdf,"January 10, 2018","Alton Lane, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2018-01-10 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/altrec-20120524.pdf,"May 24, 2012","Altrec, Inc., ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2012-05-24 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/am2-20170919.pdf,"September 19, 2017","AM2 Enterprises, LLC, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2017-09-19 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/amb-industries-20110414.pdf,"April 14, 2011","AMB Industries, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2011-04-14 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/ambassador-title-20170228.pdf,"February 28, 2017","Ambassador Title Service and Accurate Title Company, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2017-02-28 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/amedisys-20150302.pdf,"March 02, 2015","Amedisys, Inc., ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2015-03-02 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/american-esoteric-20180420.pdf,"April 20, 2018","American Esoteric Laboratories (AEL), ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2018-04-20 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/american-express-travel-20180322.pdf,"March 22, 2018","American Express Travel Related Services Company, Inc., ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2018-03-22 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/american-friends-20170821.pdf,"August 21, 2017","American Friends Service Committee, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2017-08-21 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/american-institute-20180820.pdf,"August 20, 	2018","American Institute of Aeronautics and Astronautics, 	",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2018-08-20 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/american-pharmacists-20120709.pdf,"July 09, 2012","American Pharmacists Association, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2012-07-09 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/american-residuals-talent-20141202.pdf,"December 02, 2014","American Residuals and Talent, Inc., ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2014-12-02 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/american-stock-20120413.pdf,"April 13, 2012","American Stock Transfer & Trust Company, LLC, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2012-04-13 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/american-stock-20120214.pdf,February 14 2012,"American Stock Transfer & Trust Company, LLC, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2012-02-14 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/american-tires-20190211.pdf,"February 11, 2019","American Tire Distributors, Inc. ,  ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2019-02-11 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/american-tire-20170317.pdf,"March 17, 2017","American Tire Disttributors Holdings, Inc., ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2017-03-17 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/american-tool-supply-20121119.pdf,"November 19, 2012","American Tool Supply, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2012-11-19 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/ameripride-20160226.pdf,"February 26, 2016","AmeriPride Services, Inc., ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2016-02-26 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/ameriprise-20181218.pdf,"December 18, 2018","Ameriprise Financial Services, Inc,   ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2018-12-18 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/ameriprise-20170713.pdf,"July 13, 2017","Ameriprise Financial Services, Inc., ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2017-07-13 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/ameriprise-20170406.pdf,"April 06, 2017","Ameriprise Financial Services, Inc., ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2017-04-06 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/ameriprise-20170314.pdf,"March 14, 2017","Ameriprise Financial Services, Inc., ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2017-03-14 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/ameriprise-20161221.pdf,"December 21, 2016","Ameriprise Financial Services, Inc., ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2016-12-21 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/ameriprise-20160613.pdf,"June 13, 2016","Ameriprise Financial Services, Inc., ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2016-06-13 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/ameriprise-20151125.pdf,"November 25, 2015","Ameriprise Financial Services, Inc., ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2015-11-25 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/ameriprise-20150206.pdf,"February 06, 2015","Ameriprise Financial Services, Inc., ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2015-02-06 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/ameriprise-20121113.pdf,November 13 2012,"Ameriprise Financial Services, Inc., ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2012-11-13 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/ameriprise-20100212.pdf,"February 12, 2010","Ameriprise Financial Services, Inc., ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2010-02-12 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/ameritrade-security-20070913.pdf,"September 13, 2007","Ameritrade Security, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2007-09-13 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/amplify-education-20170216.pdf,"February 16, 2017","Amplify Education, Inc., ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2017-02-16 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/amr-resorts-20141215.pdf,"December 15, 2014","AMR Resorts, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2014-12-15 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/amtote-20170206.pdf,"February 06, 2017","AmTote, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2017-02-06 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/anchor-loans-20161209.pdf,"December 09, 2016","Anchor Loans, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2016-12-09 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/anderson-bagley-mayo-20181109.pdf,"November 09, 2018","Anderson, Bagley & Mayo Insurance Agency, Inc. (""AB&M""), ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2018-11-09 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/anderson-murison-20141031.pdf,"October 31, 2014","Anderson & Murison, Inc., ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2014-10-31 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/anderson-murison-20140807.pdf,"August 07, 2014","Anderson & Murison, Inc., ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2014-08-07 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/anderson-20180628.pdf,"June 28, 2018","Anderson & Vreeland, Inc., ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2018-06-28 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/andrews-cpa-20170824.pdf,"August 24, 2017","Andrews, CPA, LLC (Mark F.) ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2017-08-24 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/angliss-colohan-20170530.pdf,"May 30, 2017","Angliss & Colohan, PC, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2017-05-30 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/anniemac-20180216.pdf,"February 16, 2018","AnnieMac Home Mortgage, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2018-02-16 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/another-planet-entertainment-20181003.pdf,"October 03, 2018","Another Planet Entertainment, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2018-10-03 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/anthem-20150218.pdf,"February 18, 2015","Anthem Blue Cross and Blue Shield, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2015-02-18 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/anthem-20130314.pdf,"March 14, 2013","Anthem Blue Cross and Blue Shield, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2013-03-14 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/anthem-20150601.pdf,"June 01, 2015","Anthem, Inc., ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2015-06-01 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/anthem-mcdermott-20150312.pdf,,"Anthem McDermott BlueCross BlueShield Medical Plan, March 125, 201",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,,
https://www.doj.nh.gov/consumer/security-breaches/documents/mcdermott-bluecross-blueshield-20150227.pdf,"February 27, 2015","Anthem McDermott BlueCross, BlueShield Medical Plan, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2015-02-27 00:00:00,
