Data Stolen,Date Notice Provided to Consumers,Date(s) of Discovery of Breach,Dates of Breach,Entity Type,Individuals Affected,Name of Entity,Type of Breach,State Reported
"Social Security Number Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",1.23.2019 - 2.13.2019,01/23/2019,1/10/2019,Financial Services ,8(6 in Maine),Old Port Advisors,,Maine
Social Security Number Driver's license number or non-driver identification card number ,2/8/19,1/8/19,Between 10/31/18-1/8/19,Other Commercial ,885(5 in Maine),"Surgical Information Systems, LLC",,Maine
"Social Security Number Driver's license number or non-driver identification card number Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",2/12/2019,1/15/2019-1/25/2019,2/1/2018,Financial Services ,53829(See Exhibit 1 in Maine),"Stanwich Mortgage Loan Trust A, C, and D",See Exhibit 1,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",2/12/19,12/19/18,11/4/18 to 12/8/18,Other Commercial ,13422(1 in Maine),Truluck’s Restaurant Group,,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",02/12/2019,12/19/2018,11/04/2018 - 12/19/2018,Other Commercial ,"13,422(1 in Maine)",Truluck’s Restaurant Group,,Maine
"Social Security Number Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",2/1/2019,1/3/2019,09/18/2017-11/7/2018,Financial Services ,"2,187(8 in Maine)",Capital One,,Maine
Social Security Number Driver's license number or non-driver identification card number ,02/08/2019,01/05/2019,11/11/2018,Financial Services ,9666(11 in Maine),Katz Sapper & Miller,,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",2/8/19,1/10/19,Unknown,Other Commercial ,1109(32 in Maine),"Dunkin' Brands, Inc.",Credential stuffing attack where attackers used usernames and passwords from other companies' security breaches to attempt to gain access to DD perks accounts where users used the same username and password combination.,Maine
Social Security Number Driver's license number or non-driver identification card number ,2/7/2019,01/29/2019,01/28/2019 - 01/29/2019,,327(1 in Maine),"Town of Concord, Massachusetts",,Maine
Social Security Number ,02/7/2019,10/4/2018,10/3/2018 - 10/4/2018,Other Commercial ,1917(1 in Maine),Marquette Management,,Maine
"Social Security Number Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",02/08/2019,1/10/2019,12/05/2018 through 1/17/2019,Financial Services ,6431(1 in Maine),"Aspire Financial Services, LLC","Aspire's recordkeeping system provides a way for authorized advisors to access participants'/account holders' account information.  Due to a system issue/error, the system temporarily allowed advisors to access the account information of other participants/account holders (for which they were not authorized).",Maine
"Social Security Number Driver's license number or non-driver identification card number Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ","February 8, 2019","January 9, 2019","January 9, 2019",Other Commercial ,257(3 in Maine),"American Tire Distributors, Inc.",Phishing email,Maine
"Social Security Number Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ","January 28, 2019","January 23, 2019","January 20, 2019",Educational ,Unknown at this time(Unknown at this time in Maine),Regional School Unit No. 24,Unknown,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",02/04/2019,01/04/2019,11/30/2018 - 01/04/2019,POS Vendor ,203(1 in Maine),"Helen of Troy, LP",,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",2/6/2016,1/30/2019,1/19/2019,Other Commercial ,1243(34 in Maine),Graf & Sons Inc.,,Maine
,2/6/2019,12/21/18,Between 10/12/18 and 10/28/18,Other Commercial ,"Approximately 58,000(Approximately 135 in Maine)","Don Best Corporation, a subsidiary of Scientific Games Corporation",,Maine
Social Security Number ,"Feb. 6, 2019","Jan. 19, 2019","Between Jan. 9, 2019 and Jan. 19, 2019",Other Commercial ,"Approximately 16,600(Approximately 11 in Maine)",Abbott Laboratories,,Maine
Social Security Number Driver's license number or non-driver identification card number ,"February 1, 2019","October 29, 2018","October 25, 2018",Other Commercial ,130(3 in Maine),Marbucco Corp dba Granite State Glass,,Maine
Social Security Number ,02/06/2018,12/20/2018,11/01/2018-11/15/2018,Other Commercial ,"430,139(636 in Maine)","Image-I-Nation Technologies, Inc.",,Maine
"Social Security Number Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ","January 25, 2019",12/27/18,7/27/18 - 7/30/18,Other Commercial ,13003(56 in Maine),Upright Law LLC,,Maine
Social Security Number ,"January 25, 2019","November 29, 2018","November 29, 2018",Health Care ,"23,578(15 in Maine)","Dr. DeLuca, Dr. Marciano & Associates (P.C.) (""DMA"")","External system breach (e.g., hacking)External system breach (e.g., hacking)Ransomware attack.",Maine
Social Security Number ,"January 31, 2019","January 16, 2019","January 2, 2019",Other Commercial ,2379(3 in Maine),Sensata Technologies,,Maine
Social Security Number ,1/31/19,12/6/18,10/23/18-11/19/18,Other Commercial ,400(1 in Maine),"Gaines CPAs, PLLC",,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",01/23/2019,12/21/2018,11/08/2018,Other Commercial ,2190(11 in Maine),"RevolutionParts, Inc.",,Maine
Social Security Number ,"January 31, 2019","September 4, 2018",August - September 2018,Other Commercial ,"3, 382(5 in Maine)","DEFENDERS, Inc.",Phishing incident,Maine
Social Security Number ,1/25/2019,11/30/2018,1/1/2016-11/30/2018,Other Commercial ,4171(7 in Maine),NCH Corporation,,Maine
"Social Security Number Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",1/28/19,"December 14, 2018","December 14, 2018",Health Care ,"4,794(1 in Maine)",Lutheran Life Communities,,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",Not stated,December 2018,December 2018,Financial Services ,"483,11006, 636, 30, 4, 756(2, 35, 4, 1, 1, 3 in Maine)","Discover Card , o/b/o Hamer Nutrition Direct, Newegg Computer, Plant Therapy, Robert Brooke & Associates, Sierra Nevada Brewing, & Teeter",,Maine
Social Security Number ,"December 20, 2018; January 25, 2019","December 5, 2018","November 4, 2018",Other Commercial ,1432(1 in Maine),"Wisconsin Health Care LIability Insurance Plan by Wausau MedMal Management Services, LLC",,Maine
Social Security Number Driver's license number or non-driver identification card number ,1/25/19,12/12/18,9/1/18,Educational ,4681(3 in Maine),Nova Southeastern University,,Maine
Social Security Number ,1/25/19,12/27/18,8/1/17-12/27/18,Health Care ,29621(14 in Maine),AdventHealth Medical Group,,Maine
,01/26/2019,01/26/2019,01/26/2019,Other Commercial ,10(10 in Maine),Test Entity,Other,Maine
Social Security Number ,1/17/19,Recently learned - no exact date given,4/23/18-5/1/18,Financial Services ,Not stated(1 in Maine),"DiGiovine, Hnilo, Jordan + Johnson Ltd (""DHJJ"")",Unauthorized access to email accounts,Maine
Driver's license number or non-driver identification card number ,01/23/2019,01/10/2019,between 2015 and January 2019,Not-for-Profit ,Potentially 208(2 in Maine),American Councils,,Maine
Social Security Number ,f,f,f,Other Commercial ,f(f in Maine),f,Insider wrongdoingf,Maine
Driver's license number or non-driver identification card number ,1/18/19,12//718,10/19/18,Other Commercial ,95(1 in Maine),"OR Nurses Credentialing c/o Data Facts, Inc.",Email phishing event,Maine
Social Security Number ,12/26/18 and 1/18/19,11/29/18,12/6/17-12/12/17,Other Commercial ,5370(2 in Maine),4A's Benefits on behalf of Entities listed in Exhibit 1,Unauthorized access to email accounts,Maine
Social Security Number ,1/18/19,11/23/18,10/9/18,Not-for-Profit ,"70,799(15 in Maine)",Valley Hope Association,Phishing Incident,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",1/22/19,1/2/19,1/2/19,Financial Services ,"11,011(2 in Maine)","Capital City Bank Group, Inc.",,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ","January 23, 2019","December 28, 2018","July 7, 2018 - December 24, 2018",Other Commercial ,933(2 in Maine),"ALM Media, LLC",,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",1/17/19,12/17/18,"8/22/18-11/20/18, 12/4/18",,"14,291(87 in Maine)","Aetrex World Wide, Inc.",,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",1/18/2019,1/8/2019,11/6/2018 - 11/26/2018,Other Commercial ,273(2 in Maine),"Prime Life Fibers, Inc.","External system breach (e.g., hacking)External system breach (e.g., hacking)Unauthorized code inserted on e-commerce website",Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",1/15/19,12/17/18,6/28/18 - 12/17/18,Other Commercial ,"11,030(39 in Maine)",Graeter's Ice Cream,,Maine
Social Security Number ,1/14/19,11/30/18,Info not provided,Not-for-Profit ,Info not provided(1 in Maine),Downtown Rescue Mission,,Maine
Social Security Number ,1/16/19,12/17/18,"September 13-18, 2018",Health Care ,8608(3 in Maine),Reliant Rehabilitation,,Maine
"Social Security Number Driver's license number or non-driver identification card number Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",1/8/19,12/3/18,10/17/18-10/18/18,Other Commercial ,179(4 in Maine),Johnny Appleseed's Inc.,,Maine
"Social Security Number Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",1/7/19,12/18/18,7/25/17 - 2/24/18,Financial Services ,564(3 in Maine),"Capital One, National Association",,Maine
Social Security Number ,11/30/18 and 1/3/19,6/11/18 - 9/18/18,6/5/18,Financial Services ,1999(1 in Maine),Rosenberg & Manente,,Maine
Social Security Number Driver's license number or non-driver identification card number ,1/4/19,12/6/18,12/6/18,Educational ,155(1 in Maine),Auburn University,,Maine
"Social Security Number Driver's license number or non-driver identification card number Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",12/31/18,9/24/18,6/7/18-9/242/18,Other Commercial ,"120,573(30 in Maine)","Aimbridge Hospitality Holdings, LLC",Phishing E-mail,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",12/31/18,9/25/18,9/13/18 - 9/25/18,Other Commercial ,Not stated(1 in Maine),Blauer Manufacturing Co.,,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",12/28/18,On Prior notice?,"6/9/17-11/28/17, 6/8/18-6/9/18, 7/20/18-10/16/18",Other Commercial ,Not provided (This is a supplement to 11/1/18 notice)(45 Additional in Maine),"OXO International, Ltd.",,Maine
Social Security Number ,12/21/18,10/3/18,11/11/17,Financial Services ,121(1 in Maine),"Debany Financial Group, LLC",Phishing,Maine
Social Security Number Driver's license number or non-driver identification card number ,12/28/18,9/26/18,Not provided,Other Commercial ,Not provided(3 in Maine),MJ Insurance,Unauthorized access to employee email account via phishing scheme,Maine
Social Security Number ,12/26/18,11/29/18,12/6/17-12/12/17,Other Commercial ,4711(1 in Maine),4A's Benefits,Unauthorized access to email accounts,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",12/20/18,11/26/18,9/25/18-11/26/18,Other Commercial ,Not provided(163 in Maine),"JAND Inc., d/b/a Warby Parker",,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",12/21/18,11/9/18,9/1/18-10/10/18,Other Commercial ,2702(13 in Maine),"Benchmade Knife Co., Inc.",,Maine
"Social Security Number Driver's license number or non-driver identification card number Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",12/21/18,Recently,Recently,Other Commercial ,Not provided(2 in Maine),CBTX Inc.,,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",12/19/18,November 2018,November 2018,Other Commercial ,Not provided(1 in Maine),Western Bagel Baking C,,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",12/19/18,November 2018,November 2018,Other Commercial ,Not provided(2 in Maine),RR Bowker LLC,,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",12/19/18,November 2018,November 2018,Other Commercial ,Not provided(1 in Maine),Philadelphia (Five Below),,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",12/19/18,November 2018,November 2018,Other Commercial ,Not provided(2 in Maine),Jason's Deli,,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",12/19/18,November 2018,November 2018,Other Commercial ,Not Provided(3 in Maine),Hardwaresource.com,,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",12/19/18,Same as above,November 2018,Other Commercial ,Not Provided(2 in Maine),Dos Amigos Burritos NEWB,,Maine
Social Security Number ,12/14/18,9/19/18,Not stated,Other Commercial ,Not provided(1 in Maine),Exude Benefits Group,email account of an employee unauthorized individual,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ","January 8, 2019","November 26, 2018","July 13, 2018 – October 2, 2018",Other Commercial ,2263(9 in Maine),Century Spring Corp.,,Maine
Social Security Number Driver's license number or non-driver identification card number ,01/14/2019,10/26/2018,08/18/2018,Other Commercial ,64(21 in Maine),"Nortrax, Inc.",,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ","Once A&A’s forensic investigation revealed a breach impacting Maine residents, and had restored the integrity and security of the impacted systems, A&A prepared to notify those impacted individuals. Notifications to the impacted individuals in Maine were sent by U.S. Mail on January 9, 2019.","A&A was notified of suspicious activity on August 17, 2018 and immediately launched a forensic investigation.  The forensic investigation concluded on December 7, 2018, revealing a breach impacting Maine residents.","Based upon A&A’s investigation to date, it appears that information entered on its website may have been exposed at various points in time, including from August 15, 2017 to January 4, 2019.",Other Commercial ,"52,441(735 in Maine)","A&A Global Imports, Inc.",,Maine
Social Security Number Driver's license number or non-driver identification card number ,1/4/19,12/6/18,12/6/18,Educational ,155(1 in Maine),Auburn University,,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",12/14/18,11/13/18,11/12/18-11/13/18,,1290(5 in Maine),"Free Speach Systems, LLC",,Maine
"Social Security Number Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",12/14/18,11/16/18,10/27/18-11/16/18,Financial Services ,4360(10 in Maine),"ACE Cash Express, Inc.",Credential stuffing,Maine
Social Security Number ,12/14/18,"Early August, 2018",Not stated,Financial Services ,Not stated(1 in Maine),NFM Lending,,Maine
Social Security Number Driver's license number or non-driver identification card number ,12/28/18,11/30/18,5/1/18-7/12/18,Educational ,1090(1 in Maine),Westminster College,,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",12/19/18,11/20/18,9/28/18-11/20/18,Other Commercial ,"3,465(19 in Maine)","GoldSilver, LLC",,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",12/17/18,10/30/18-1/15/18,9/8/18-10/2/18,Other Commercial ,392(4 in Maine),"Dr. Ben Lynch, LLC",Unauthorized code injected into website's JavaScript,Maine
Social Security Number Driver's license number or non-driver identification card number ,12/17/18,10/18/18,10/8/18-10/10/18,Health Care ,32000(38 in Maine),University of Vermont Health Network - Elizabethtown Community Hospital,Phishing,Maine
Social Security Number ,12/21/18,11/12/18,11/11/18,Financial Services ,1513(4 in Maine),"American Financial, Inc.",,Maine
"Social Security Number Driver's license number or non-driver identification card number Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",12/10/18,8/9/18,7/2/18-8/14/18,Financial Services ,729(13 in Maine),"Frontier Wealth Management, LLC",,Maine
"Driver's license number or non-driver identification card number Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",11/24/18,10/2/18,10/2/18,Other Commercial ,89(3 in Maine),"Burke Law, P.C.",,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",placed in the mail 01-09-19,12-06-2018,11-14-2018,Other Commercial ,859(6 in Maine),Welders Supply Company,,Maine
Social Security Number ,c,C,C,Not-for-Profit ,C(C in Maine),c,C,Maine
Social Security Number ,1/9/19,12/10/18,Approximately 6/5/18-10/18/18,Other Commercial ,490(2 in Maine),"Enservio, Inc.",,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",12/14/18,Not stated,1/2018 - 10/2018,Other Commercial ,Not stated(166 in Maine),Hammer Nutrition,,Maine
"Social Security Number Driver's license number or non-driver identification card number Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",12/14/18,Not stated,Not stated,Financial Services ,Not stated(16 in Maine),Springstone Financial,,Maine
"Social Security Number Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",12/6/18,11/6/18,11/6/18,Health Care ,600(1 in Maine),"Sunquest Information Systems, Inc.",,Maine
Social Security Number Driver's license number or non-driver identification card number ,In Process,11/20/18,On or before 11/20/18,Other Commercial ,2(2 in Maine),Intuit Inc.,Internal system breach Outside individual(s) who previously obtained customer credentials to access Intuit customers' accounts,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ","December 31, 2018","September 25, 2018","September 13, 2018 to September 25, 2018",Other Commercial ,374(1 in Maine),Blauer Manufacturing Co.,,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",12/12/18,11/1/18,12/29/17-8/16/18,Other Commercial ,194(1 in Maine),"Ronin Gallery, LLC",,Maine
Social Security Number Driver's license number or non-driver identification card number ,12/10/18,9/13/18,9/13/18,Other Commercial ,929(1 in Maine),Turner Construction Company,,Maine
Social Security Number ,12/7/18,Not specified,9/13/18-9/18/18,Financial Services ,Not specified(1 in Maine),Luzerne Bank,,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",12/7/18,11/6/18,11/23/17,Other Commercial ,65798(507 in Maine),"Titan Manufacturing and Distributing, Inc.",,Maine
Social Security Number ,12/6/18,9/27/18,8/27/2018-9/27/18,Other Commercial ,959(7 in Maine),"Harley-Davidson Motor Company, Inc.",,Maine
Social Security Number ,12/28/18,11/29/18,10/31/18 - 11/13/18,Other Commercial ,"8,239(35 in Maine)",General Dynamics Information Technology,,Maine
