Date Notice Provided to Consumers,Dates of Breach,Name of Entity,Individuals Affected,State Reported,Source(s),Start Date of Breach
2016-10-20,,Ameriprise Financial Inc ,477.0 (8.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,
2016-02-18,2016-01-12,Ameriprise Financial Inc  Breach  Notification ,1.0 (1.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-01-12
2016-12-09,2016-11-07,Anchor Loans ,2905.0 (9.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-11-07
2016-08-05,,Anderson Tackman Company PLC ,Unknown (2.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,
2016-04-20,2016-02-25,Anthelio Healthcare Solutions Inc ,Unknown (7.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-02-25
2016-05-26,2016-04-19,Anthem Blue Crossand Blue Shield ,1.0 (1.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-04-19
2016-05-27,2015-12-24,Anthem Blue Crossand Blue Shield ,1.0 (1.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2015-12-24
2016-02-03,2015-12-21,Anthem Blue Crossand Blue Shield ,1.0 (1.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2015-12-21
2016-05-04,2016-04-04,Anthem Blue Crossand Blue Shield ,1.0 (1.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-04-04
2016-03-10,2016-02-19,Aon Corporation ,1.0 (1.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-02-19
2016-03-07,2016-02-19,Applied Systems Inc ,1206.0 (134.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-02-19
2016-08-26,2016-08-25,Arbor Point Advisors LLC ,105.0 (84.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-08-25
2016-05-04,2016-04-04,Areas ,4362.0 (192.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-04-04
2016-04-06,2016-03-14,Argon Medical Devices Inc ,772.0 (3.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-03-14
2016-05-31,2016-04-09,Aristech Surfaces LLC ,993.0 (21.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-04-09
2016-05-11,2016-04-14,Arizona Tile LLC ,818.0 (1.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-04-14
2016-06-10,,Asbury Theological Seminary ,Unknown (4.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,
2016-12-15,2016-11-04,Ascensus Inc ,1.0 (1.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-11-04
2016-09-15,2016-04-29,Ascensus Inc ,6206.0 (38.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-04-29
2016-03-08,2016-02-26,Ascensus Inc ,1.0 (1.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-02-26
2016-03-07,2016-02-24,Aspect Software Inc ,1300.0 (8.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-02-24
2016-01-29,2016-01-17,Aspiration Partners Inc ,210.0 (3.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-01-17
2016-04-17,2016-03-14,Aspire CPA  s PC ,70.0 (61.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-03-14
2016-05-10,2016-04-04,Astreya Partners Inc ,Unknown (1.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-04-04
2016-08-26,2016-06-14,Athens Orthopedic Clinic ,Unknown (69.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-06-14
2016-10-21,2016-02-12,Atlanta Falcons Football Club LLC ,975.0 (6.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-02-12
2016-11-22,,Augusta University ,Unknown (1.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,
2016-03-23,2016-03-07,Avendra LLC ,323.0 (1.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-03-07
2016-05-10,2016-03-31,Avention ,310.0 (2.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-03-31
2016-04-20,2016-02-24,B  Solutions LLC ,226.0 (4.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-02-24
2016-11-23,2016-09-26,Backcountry Gear ,2177.0 (25.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-09-26
2016-01-27,2015-09-25,Bailey  s Inc ,15000.0 (420.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2015-09-25
2016-02-07,2015-12-16,Baja Bound Insurance Services Inc ,1143.0 (4.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2015-12-16
2016-11-10,2016-10-08,Baker Overby  Moore Inc PS ,55.0 (2.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-10-08
2016-02-09,2015-10-07,Ballet Makers Incdba Capezio ,3431.0 (40.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2015-10-07
2016-04-22,2016-02-02,Bankers Lifeand Casualty Company ,1.0 (1.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-02-02
2016-06-30,2016-04-30,Bankers Lifeand Casualty Company ,1.0 (1.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-04-30
2016-02-17,2015-10-31,Bankers Lifeand Casualty Company ,1.0 (1.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2015-10-31
2016-08-03,2016-06-17,Banner Health Inc ,3623140.0 (2082.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-06-17
2016-02-26,2015-12-03,Baptist Health Louisville ,140.0 (1.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2015-12-03
2016-04-01,2016-02-08,Bartech Group Inc ,393.0 (4.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-02-08
2016-05-17,2015-10-01,Batdorf Bronson Coffee Roasters ,1845.0 (15.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2015-10-01
2016-11-10,2016-10-03,Baxter Credit Union  Security Breach ,6998.0 (125.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-10-03
2016-04-29,2016-02-20,Beacon Health System  Breach  Notification ,76.0 (69.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-02-20
2016-11-11,2016-02-20,Bed Bath Beyond Inc ,3845.0 (2.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-02-20
2016-04-22,2016-04-19,Behavioral Science Technology Inc ,150.0 (2.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-04-19
2016-02-23,2016-01-25,Bethesda Ministries ,31.0 (1.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-01-25
2016-04-01,2016-03-21,BHEquities LLC ,581.0 (1.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-03-21
2016-03-03,2016-02-26,Billy Casper Golf ,8176.0 (126.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-02-26
2016-08-25,2016-08-04,Birch Communications ,1913.0 (5.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-08-04
2016-05-13,2016-03-21,Blockand Company Inc ,276.0 (4.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-03-21
2016-03-31,2016-02-09,Blockand Company Inc ,709.0 (16.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-02-09
2016-01-08,2015-11-10,Blucora Inc ,500.0 (16.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2015-11-10
2016-01-21,2015-09-17,Blue Dolphin Group LLC ,32758.0 (2182.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2015-09-17
2016-01-29,2015-09-01,Blue Shieldof California ,20764.0 (1.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2015-09-01
2016-05-10,2016-04-16,BMOHarris Bank ,2.0 (2.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-04-16
,2016-11-17,BMV ,1.0 (1.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-11-17
2016-09-15,2016-09-07,Bolttech Manning Inc ,355.0 (25.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-09-07
2016-12-16,2016-09-13,Bomberg  Roach   Hanson  PLLC ,2919.0 (5.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-09-13
2016-08-31,2016-04-18,Bon Secours Health System Inc Affilates ,655203.0 (396.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-04-18
2016-09-28,2016-09-27,Bostock Construction LLC ,60.0 (25.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-09-27
2016-12-13,2016-09-24,Brace Ability ,5374.0 (131.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-09-24
2016-04-20,2016-03-25,Bradley Company LLC ,Unknown (236.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-03-25
2016-12-23,2016-08-03,Brandywine Pediatrics  P  A  ,26721.0 (12.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-08-03
2016-12-20,2016-12-01,Breville USA  Inc  ,290.0 (3.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-12-01
2016-04-20,2016-04-18,Bri Mar Wood Innovations Inc ,55.0 (54.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-04-18
2016-10-17,,Broadview Mortgage ,Unknown (2.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,
2016-05-05,2016-04-29,Brunswick Corporation ,11363.0 (338.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-04-29
2016-06-03,,Bucknell University ,Unknown (13.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,
2016-04-22,2016-04-01,Business Decision North America ,45.0 (2.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-04-01
2016-11-28,2015-07-29,Caesars Entertainment ,1439.0 (22.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2015-07-29
,,Caliber Home Mortgage ,Unknown (Unknown in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,
2016-05-05,,California State University Northridge ,70265.0 (1.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,
2016-07-11,2016-06-16,Career Education Corporation ,881.0 (9.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-06-16
2016-11-02,2016-08-24,Carpenters Local    ,450.0 (450.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-08-24
2016-05-05,2016-01-25,Certifi Kid LLC ,32388.0 (24.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-01-25
2016-11-18,2016-10-23,Cetera Investment Services LLC ,68.0 (68.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-10-23
2016-02-16,2016-01-13,Charles Schwab Bank ,1.0 (1.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-01-13
2016-11-11,2016-03-25,Charles Schwab Co Inc ,22442.0 (351.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-03-25
2016-08-31,2016-04-21,CHIFranciscan Healthcare Highland Medical Center ,13636.0 (7.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-04-21
,,Childrens Bureau ,Unknown (Unknown in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,
2016-09-26,2016-08-30,Child Support Divisionofthe Elkhart County Prosecuting Attorneys Office ,2.0 (2.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-08-30
2016-10-25,2016-08-28,Christian Louboutin LLC ,3059.0 (47.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-08-28
2016-07-19,2015-06-30,Ci Ci Enterprises LP ,Unknown (Unknown in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2015-06-30
2016-04-18,2016-01-06,Cigna  Life Insurance Companyof North America ,1285.0 (64.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-01-06
2016-01-15,2015-09-16,Citibank NA ,Unknown (2.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2015-09-16
2016-02-13,,Cityof Rochester Minnesota ,Unknown (2.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,
2016-12-22,2016-11-15,Claremont University Consortium ,Unknown (3.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-11-15
2016-04-01,2016-03-21,Clinton Health Access Initiative Inc ,337.0 (1.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-03-21
2016-08-01,2016-06-30,Columbus Regional Health ,1.0 (1.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-06-30
2016-02-19,2016-01-04,Columbus Regional Health ,2.0 (2.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-01-04
2016-08-08,2016-07-15,Columbus Regional Health Physicians ,1.0 (1.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-07-15
2016-09-19,2016-08-14,Columbus Regional Health Physicians ,1.0 (1.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-08-14
2016-09-28,2016-09-22,Columbus Regional Hospital ,1.0 (1.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-09-22
2016-07-22,2016-06-24,Comic  Con International ,170.0 (1.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-06-24
2016-06-03,2015-11-11,Community Health Network ,1.0 (1.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2015-11-11
2016-01-12,2015-12-28,Community Health Network ,1.0 (1.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2015-12-28
2016-11-14,2016-10-11,Community Health Network ,1.0 (1.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-10-11
2016-05-06,2016-04-13,Community Health Network ,1.0 (1.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-04-13
2016-12-09,2016-11-08,Community Health Network ,1.0 (1.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-11-08
2016-11-16,2016-10-16,Community Health Network ,2.0 (2.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-10-16
2016-11-21,2016-10-22,Community Health Network ,1.0 (1.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-10-22
2016-08-08,2016-06-13,Community Health Network  Security Breach ,1.0 (1.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-06-13
2016-12-24,2016-01-16,Community Health Planof Washington ,354304.0 (11.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-01-16
2016-02-26,2015-12-06,Community Howard Regional Health ,15.0 (15.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2015-12-06
2016-09-08,2016-08-10,Community Rehabilitation Hospital ,1.0 (1.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-08-10
2016-03-04,2016-02-17,Contact Solutions  Security Breach ,Unknown (3.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-02-17
,,Contec ,Unknown (Unknown in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,
2016-03-28,2016-03-24,Contec ,320.0 (1.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-03-24
2016-03-09,2016-02-29,Conva Tec Inc ,Unknown (6.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-02-29
2016-02-10,2015-12-20,Costco Wholesale ,815.0 (2.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2015-12-20
2016-01-22,2016-01-14,Coyote Logistics LLC ,2183.0 (12.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-01-14
2016-06-07,2016-06-07,Crane Company ,327.0 (1.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-06-07
2016-05-13,2016-01-06,CREngland Inc ,107.0 (1.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-01-06
2016-07-12,2016-07-01,CRGResidential LLC ,120.0 (102.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-07-01
2016-05-18,2016-04-11,Curse Inc ,Unknown (11.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-04-11
2016-03-22,2015-08-20,DASCOMajor Hospital Home Medical Equipment ,4.0 (4.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2015-08-20
2016-03-10,2015-12-10,Deaconess Hospitalinc ,177.0 (121.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2015-12-10
2016-03-10,2015-12-10,Deaconess Hospitalinc ,7.0 (5.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2015-12-10
2016-04-11,2016-04-11,Dealer Socket Inc ,1350.0 (2.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-04-11
2016-10-13,2016-08-23,Dearborn National ,1568.0 (99.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-08-23
2016-03-21,2016-03-15,Dedicated Transport LLC ,20.0 (1.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-03-15
2016-10-13,2016-09-29,Delta Career Education Corporation ,4014.0 (6.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-09-29
2016-10-13,2016-09-29,Delta Career Education Corporation  Security Breach ,4014.0 (6.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-09-29
2016-05-16,2016-05-02,Distinct Software Solutionsdba Course Trends ,3000.0 (46.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-05-02
2016-05-31,2016-04-27,Don Hinds Ford Inc  ,197.0 (197.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-04-27
2016-04-18,2016-03-01,do TERRAInternational LLC ,Unknown (18926.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-03-01
2016-12-22,2016-09-20,Dover Federal Credit Union ,86055.0 (166.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-09-20
2016-01-29,2016-01-20,Drager Medical Systems Inc ,1302.0 (10.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-01-20
2016-04-26,2016-03-02,Draper James LLC ,633.0 (9.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-03-02
2015-12-22,2015-10-15,Dungarees LLC ,9948.0 (218.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2015-10-15
2016-10-24,2016-10-21,DWD  Indiana Workforce  Development  ,17.0 (3.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-10-21
2016-11-24,2016-10-29,DWD  Indiana Workforce  Development  ,1.0 (1.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-10-29
,,DXEMedical Inc ,Unknown (Unknown in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,
2016-08-19,2016-03-24,DXEMedical Inc ,Unknown (29.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-03-24
2016-03-21,2016-03-11,Dynamic Aviation ,730.0 (2.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-03-11
2016-02-11,2016-02-04,Eagles Benefits By Design Inc ,1.0 (1.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-02-04
2016-10-19,2016-05-29,Eastwood Company ,20929.0 (426.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-05-29
2016-09-08,2016-07-03,EBSCOIndustries Inc ,187.0 (1.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-07-03
2016-08-18,2016-01-02,Eddie Bauer LLC ,2192422.0 (22575.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-01-02
2016-11-22,2016-09-26,Educents Inc  ,970.0 (26.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-09-26
2016-11-09,2016-09-07,Eileen Fisher  Inc  ,16200.0 (159.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-09-07
2016-03-04,2016-02-26,Elementis Global LLC ,310.0 (1.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-02-26
2016-01-28,2015-12-11,Elicit Brands LLC ,191.0 (4.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2015-12-11
2016-01-14,2015-11-05,Emergency Physicians Medical Group PC ,Unknown (29.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2015-11-05
2016-06-06,,Empathia Inc ,26446.0 (288.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,
2016-03-07,2016-03-03,Endologix ,339.0 (1.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-03-03
2016-02-19,2016-01-07,Envision Rx Plus ,115.0 (1.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-01-07
2016-06-15,2016-06-01,Envisio Pharmacies ,30.0 (1.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-06-01
2016-04-28,2016-02-25,Equalize RCMSystems ,Unknown (9.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-02-25
2016-02-12,2016-01-14,Estech Systems Inc ,1344.0 (44.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-01-14
2016-03-03,2016-02-26,Evening Post Industries ,2314.0 (2.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-02-26
