Dates of Breach,End Date of Breach,Individuals Affected,Link to PDF,Name of Entity,Reported Date,Source(s),Start Date of Breach,State Reported
11/07/2018-11/07/2018,2018-11-07 00:00:00,2 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-CON.pdf,Union Benefit Planners,2019-04-10 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2018-11-07 00:00:00,Montana
10/01/2018-10/31/2018,2018-10-31 00:00:00,1 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-2019.04.09-MT-AG-Notice-WRRH.pdf,Weslaco Regional Rehabilitation Hospital,2019-04-08 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2018-10-01 00:00:00,Montana
10/01/2018-10/31/2018,2018-10-31 00:00:00,1 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-2019.04.09-MT-AG-Notice-WRRH.pdf,Weslaco Regional Rehabilitation Hospital,2019-04-08 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2018-10-01 00:00:00,Montana
02/12/2019-02/19/2019,2019-02-19 00:00:00,46 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-Letter-to-MT-AG.pdf,Canyon Bakehouse,2019-04-09 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2019-02-12 00:00:00,Montana
11/01/2018-11/30/2018,2018-11-30 00:00:00,8 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-America-Juice-Sample-Consumer-Notification-Letter.pdf,America Juice Co.,2019-04-08 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2018-11-01 00:00:00,Montana
03/07/2019-03/07/2019,2019-03-07 00:00:00,1 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-MT-AG.pdf,H&R Block,2019-04-08 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2019-03-07 00:00:00,Montana
09/06/2018-12/02/2018,2018-12-02 00:00:00,Unknown in Montana,https://media.dojmt.gov/wp-content/uploads/CON-Sample-Notice.pdf,Pie Five Pizza,2019-04-05 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2018-09-06 00:00:00,Montana
12/18/2018-02/20/2019,2019-02-20 00:00:00,4 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-Archbright-Consumer-Notification-Letter.pdf,Archbright,2019-04-05 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2018-12-18 00:00:00,Montana
11/14/2018-02/05/2019,2019-02-05 00:00:00,1 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-HRS-Regulator-Notice-MT_Redacted.pdf,Health Recovery Services,2019-05-05 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2018-11-14 00:00:00,Montana
08/01/2018-08/21/2018,2018-08-21 00:00:00,1345 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-Jobscience-Notice-MT.pdf,"Jobscience, Inc.",2019-04-05 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2018-08-01 00:00:00,Montana
11/26/2018-04/04/2019,2019-04-04 00:00:00,1 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-UCLA-Eurofin-Adults-Template.pdf,UCLA Health,2019-04-05 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2018-11-26 00:00:00,Montana
12/01/2018-02/17/2019,2019-02-17 00:00:00,912 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-Coinmama-Montana-Breach_.pdf,Coinmama.com,2019-04-05 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2018-12-01 00:00:00,Montana
10/01/2018-10/31/2018,2018-10-31 00:00:00,1 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-2019.04.09-MT-AG-Notice-WRRH.pdf,Weslaco Regional Rehabilitation Hospital,2019-04-08 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2018-10-01 00:00:00,Montana
02/12/2019-02/19/2019,2019-02-19 00:00:00,46 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-Letter-to-MT-AG.pdf,Canyon Bakehouse,2019-04-09 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2019-02-12 00:00:00,Montana
11/01/2018-11/30/2018,2018-11-30 00:00:00,8 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-America-Juice-Sample-Consumer-Notification-Letter.pdf,America Juice Co.,2019-04-08 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2018-11-01 00:00:00,Montana
03/07/2019-03/07/2019,2019-03-07 00:00:00,1 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-MT-AG.pdf,H&R Block,2019-04-08 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2019-03-07 00:00:00,Montana
09/06/2018-12/02/2018,2018-12-02 00:00:00,Unknown in Montana,https://media.dojmt.gov/wp-content/uploads/CON-Sample-Notice.pdf,Pie Five Pizza,2019-04-05 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2018-09-06 00:00:00,Montana
12/18/2018-02/20/2019,2019-02-20 00:00:00,4 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-Archbright-Consumer-Notification-Letter.pdf,Archbright,2019-04-05 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2018-12-18 00:00:00,Montana
11/14/2018-02/05/2019,2019-02-05 00:00:00,1 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-HRS-Regulator-Notice-MT_Redacted.pdf,Health Recovery Services,2019-05-05 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2018-11-14 00:00:00,Montana
08/01/2018-08/21/2018,2018-08-21 00:00:00,1345 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-Jobscience-Notice-MT.pdf,"Jobscience, Inc.",2019-04-05 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2018-08-01 00:00:00,Montana
11/26/2018-04/04/2019,2019-04-04 00:00:00,1 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-UCLA-Eurofin-Adults-Template.pdf,UCLA Health,2019-04-05 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2018-11-26 00:00:00,Montana
12/01/2018-02/17/2019,2019-02-17 00:00:00,912 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-Coinmama-Montana-Breach_.pdf,Coinmama.com,2019-04-05 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2018-12-01 00:00:00,Montana
10/01/2018-10/31/2018,2018-10-31 00:00:00,1 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-2019.04.09-MT-AG-Notice-WRRH.pdf,Weslaco Regional Rehabilitation Hospital,2019-04-08 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2018-10-01 00:00:00,Montana
02/12/2019-02/19/2019,2019-02-19 00:00:00,46 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-Letter-to-MT-AG.pdf,Canyon Bakehouse,2019-04-09 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2019-02-12 00:00:00,Montana
11/01/2018-11/30/2018,2018-11-30 00:00:00,8 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-America-Juice-Sample-Consumer-Notification-Letter.pdf,America Juice Co.,2019-04-08 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2018-11-01 00:00:00,Montana
03/07/2019-03/07/2019,2019-03-07 00:00:00,1 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-MT-AG.pdf,H&R Block,2019-04-08 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2019-03-07 00:00:00,Montana
09/06/2018-12/02/2018,2018-12-02 00:00:00,Unknown in Montana,https://media.dojmt.gov/wp-content/uploads/CON-Sample-Notice.pdf,Pie Five Pizza,2019-04-05 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2018-09-06 00:00:00,Montana
12/18/2018-02/20/2019,2019-02-20 00:00:00,4 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-Archbright-Consumer-Notification-Letter.pdf,Archbright,2019-04-05 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2018-12-18 00:00:00,Montana
11/14/2018-02/05/2019,2019-02-05 00:00:00,1 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-HRS-Regulator-Notice-MT_Redacted.pdf,Health Recovery Services,2019-05-05 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2018-11-14 00:00:00,Montana
08/01/2018-08/21/2018,2018-08-21 00:00:00,1345 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-Jobscience-Notice-MT.pdf,"Jobscience, Inc.",2019-04-05 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2018-08-01 00:00:00,Montana
11/26/2018-04/04/2019,2019-04-04 00:00:00,1 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-UCLA-Eurofin-Adults-Template.pdf,UCLA Health,2019-04-05 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2018-11-26 00:00:00,Montana
12/01/2018-02/17/2019,2019-02-17 00:00:00,912 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-Coinmama-Montana-Breach_.pdf,Coinmama.com,2019-04-05 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2018-12-01 00:00:00,Montana
12/01/2018-02/17/2019,2019-02-17 00:00:00,912 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-Coinmama-Montana-Breach_.pdf,Coinmama.com,2019-04-05 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2018-12-01 00:00:00,Montana
12/01/2018-02/17/2019,2019-02-17 00:00:00,912 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-Coinmama-Montana-Breach_.pdf,Coinmama.com,2019-04-05 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2018-12-01 00:00:00,Montana
12/01/2018-02/17/2019,2019-02-17 00:00:00,912 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-Coinmama-Montana-Breach_.pdf,Coinmama.com,2019-04-05 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2018-12-01 00:00:00,Montana
12/01/2018-02/17/2019,2019-02-17 00:00:00,912 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-Coinmama-Montana-Breach_.pdf,Coinmama.com,2019-04-05 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2018-12-01 00:00:00,Montana
03/04/2019-03/04/2019,2019-03-04 00:00:00,141 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-Individual-Notification-Letter-April-2019.docx,AeroGrow International Inc,2019-04-04 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2019-03-04 00:00:00,Montana
03/04/2019-03/04/2019,2019-03-04 00:00:00,2 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-Kenra_AG-MT-Notice.pdf,Kenra Professional,2019-04-03 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2019-03-04 00:00:00,Montana
07/19/2018-01/10/2019,2019-01-10 00:00:00,11 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-Auto-Truck-Kargo-Ad-r3prf.pdf,Auto Truck Kargo Equipment LLC,2019-04-02 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2018-07-19 00:00:00,Montana
11/09/2018-11/13/2018,2018-11-13 00:00:00,1 in Montana,https://media.dojmt.gov/wp-content/uploads/MT-Oregon-Endodontic-Group-Notice-of-Data-Event-MT.pdf,Oregon Endodontic Group,2019-04-02 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2018-11-09 00:00:00,Montana
02/07/2018-12/13/2018,2018-12-13 00:00:00,1 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-J2477300.pdf,Key West Hotels LLC,2019-02-02 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2018-02-07 00:00:00,Montana
01/31/2019-02/14/2019,2019-02-14 00:00:00,8 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-Creative-Memories-Notice-of-Data-Event-MT.pdf,CM Group Holdings d/b/a Creative Memories,2019-04-01 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2019-01-31 00:00:00,Montana
01/13/2019-01/16/2019,2019-01-16 00:00:00,Unknown in Montana,https://media.dojmt.gov/wp-content/uploads/CON-FOCUS-MT-AG-Notification.pdf,Fellowship of Catholic University Students (FOCUS),2019-03-29 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2019-01-13 00:00:00,Montana
05/23/2018-03/18/2019,2019-03-18 00:00:00,Unknown in Montana,https://media.dojmt.gov/wp-content/uploads/CON-Website-Notice.pdf,Earl Enterprises,2019-03-29 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2018-05-23 00:00:00,Montana
02/05/2019-02/05/2019,2019-02-05 00:00:00,1 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-12584983-AG-MT-Notification-letter-Final-Gifted-Development-Center-v1.pdf,Gifted Development Center,2019-03-29 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2019-02-05 00:00:00,Montana
01/15/2016-02/21/2018,2018-02-21 00:00:00,9 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-HU1900189-Availity-Mbr-Breach-Notification.pdf,Humana,2019-02-22 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2016-01-15 00:00:00,Montana
07/21/2012-12/11/2018,2018-12-11 00:00:00,1 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-doc-1.pdf,OneMain Financial,2019-03-21 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2012-07-21 00:00:00,Montana
11/13/2018-01/16/2019,2019-01-16 00:00:00,2 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-3.27.19-Montana-Regulator-Notice.pdf,Life Equity LLC,2019-03-27 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2018-11-13 00:00:00,Montana
01/14/2019-01/14/2019,2019-01-14 00:00:00,4 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-Letter-1-SS-Debit-Card-DDA-01081897xB8DF0.pdf,American State Bank,2019-03-26 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2019-01-14 00:00:00,Montana
02/06/2019-02/06/2019,2019-02-06 00:00:00,1 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-MT-AG-Letter.pdf,"Nasif, Hicks, Harris and Co LLP",2019-03-26 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2019-02-06 00:00:00,Montana
12/21/2018-01/23/2019,2019-01-23 00:00:00,2 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-SDC-Notice-of-Data-Event-MT.pdf,Superior Dental Care,2019-03-25 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2018-12-21 00:00:00,Montana
03/07/2019-03/07/2019,2019-03-07 00:00:00,9 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-Grinnell-College-Notification-to-Montana-AG-with-enclosure-7985645x7AB84.pdf,Grinnell College,2019-03-25 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2019-03-07 00:00:00,Montana
01/28/2019-02/15/2019,2019-02-15 00:00:00,16 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-Regulatory-Letter-dated-March-22-2019_Helena-MT.pdf,Brighton Collectibles LLC,2019-03-22 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2019-01-28 00:00:00,Montana
12/22/2018-12/22/2018,2018-12-22 00:00:00,2 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-Copy-of-Data-Breach-Letter.pdf,AG Source,2019-03-22 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2018-12-22 00:00:00,Montana
02/28/2018-12/13/2018,2018-12-13 00:00:00,2 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-Warn-Notice-of-Data-Event-MT.pdf,Warn Industries Inc,2019-03-22 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2018-02-28 00:00:00,Montana
07/01/2018-01/24/2019,2019-01-24 00:00:00,8 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-Navicent-Health-Ad-SSN-r5prf-c-c-c-c-c.pdf,Navicent Health,2019-03-22 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2018-07-01 00:00:00,Montana
10/10/2018-10/12/2018,2018-10-12 00:00:00,17 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-WesternTech_MT-AG-Notice_3.21.19.pdf,Western Technical College,2019-03-21 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2018-10-10 00:00:00,Montana
11/06/2018-01/08/2019,2019-01-08 00:00:00,1 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-Spectrum-Business-Resources-Notification-to-Montana-AG-with-enclosure-7977226x7AB84.pdf,Spectrum Business Resources LLC,2019-03-21 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2018-11-06 00:00:00,Montana
12/23/2018-12/23/2018,2018-12-23 00:00:00,1 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-Tempo-Consumer-Notification-Letter.pdf,Tempo Inc,2019-03-21 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2018-12-23 00:00:00,Montana
12/01/2018-02/01/2019,2019-02-01 00:00:00,5 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-MT-AG-notice-Wenner.pdf,Wenner Group,2019-03-21 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2018-12-01 00:00:00,Montana
02/24/2019-02/24/2019,2019-02-24 00:00:00,4 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-AllClear-ID-Notification-Letter_Identity-Theft-Monitoring-Final.pdf,Eye Buy Direct Inc,2019-03-18 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2019-02-24 00:00:00,Montana
11/08/2018-12/28/2018,2018-12-28 00:00:00,445 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-ZOLL-final-SSN-letter-from-Kroll.pdf,ZOLL Services LLC,2019-03-18 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2018-11-08 00:00:00,Montana
01/08/2019-02/12/2019,2019-02-12 00:00:00,Unknown in Montana,https://media.dojmt.gov/wp-content/uploads/CON-MT-Notice-of-Data-Event-3.pdf,Kathmandu UK Limited,2019-03-18 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2019-01-08 00:00:00,Montana
02/14/2019-02/14/2019,2019-02-14 00:00:00,2 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-CON-Montana-Consumer-Notice-3-15-19.pdf,Cremation Society of Pennsylvania Inc,2019-03-15 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2019-02-14 00:00:00,Montana
07/01/2018-09/30/2018,2018-09-30 00:00:00,2 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-IN-LCP-HITECH-Breach-Notification-Letter.pdf,LCP Transportation,2019-03-20 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2018-07-01 00:00:00,Montana
12/21/2018-02/06/2019,2019-02-06 00:00:00,7 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-Rutland-Regional-Notice-of-Data-Event-MT.pdf,Rutland Regional Medical Center,2019-03-12 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2018-12-21 00:00:00,Montana
12/07/2018-02/25/2019,2019-02-25 00:00:00,39 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-flexPATH_MT-Notice.pdf,flexPATH Strategies LLC,2019-03-15 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2018-12-07 00:00:00,Montana
01/15/2019-01/15/2019,2019-01-15 00:00:00,2 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-Southern-Hills-Eyecare-AG-Notification-letter-MT.pdf,Southern Hills Eye Care,2019-03-15 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2019-01-15 00:00:00,Montana
01/08/2019-01/31/2019,2019-01-31 00:00:00,23 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-Montana-Notice-of-Data-Event.pdf,American Cancer Society Inc,2019-03-01 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2019-01-08 00:00:00,Montana
01/19/2019-01/26/2019,2019-01-26 00:00:00,7 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-2019-03-01-Notification-of-Data-Breach-Carroll-College.pdf,Carroll Saints Shoppe,2019-03-01 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2019-01-19 00:00:00,Montana
08/23/2018-12/17/2018,2018-12-17 00:00:00,5 in Montana,https://media.dojmt.gov/wp-content/uploads/RSC_Re-Solutions_MT-DOI-Notice_3.1.19.pdf,RSC Insurance Brokerage Inc,2019-03-01 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2018-08-23 00:00:00,Montana
01/16/2019-02/03/2019,2019-02-03 00:00:00,1 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-Montana-c.pdf,Environmental Graphics LLC d/b/a Murals Your Way,2019-02-22 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2019-01-16 00:00:00,Montana
07/24/2018-08/02/2018,2018-08-02 00:00:00,3 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-Welk-MT-Notice-of-Data-Event.pdf,Welk Resort Group,2019-02-22 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2018-07-24 00:00:00,Montana
08/20/2018-08/27/2018,2018-08-27 00:00:00,17 in Montana,https://media.dojmt.gov/wp-content/uploads/AG-Adult-No-SSN-X060_v03-c-c.pdf,UConn Health,2019-02-21 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2018-08-20 00:00:00,Montana
01/09/2019-01/09/2019,2019-01-09 00:00:00,11 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-Direct-Distributors-Inc.-Notice-of-Data-Security-Incident.pdf,"Direct Distributors, Inc",2019-02-21 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2019-01-09 00:00:00,Montana
05/28/2018-01/18/2019,2019-01-18 00:00:00,4 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-Rennline-MT.pdf,Rennline Automotive,2019-02-21 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2018-05-28 00:00:00,Montana
02/28/2018-02/28/2018,2018-02-28 00:00:00,26 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-MT.pdf,Phillip Capital Inc,2019-02-21 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2018-02-28 00:00:00,Montana
08/30/2017-04/09/2018,2018-04-09 00:00:00,15 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-Pillow-Pets-General-Master-1.pdf,Pillow Pets,2019-02-20 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2017-08-30 00:00:00,Montana
01/01/2012-01/30/2019,2019-01-30 00:00:00,3 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-MTSA-Individual-notice-MAILED-2-19-2019.pdf,Middle Tennessee School of Anesthesia,2019-02-19 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2012-01-01 00:00:00,Montana
12/06/2018-12/21/2018,2018-12-21 00:00:00,02/19/2019 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-Montana-Individual-Reporting-Letter-Template.pdf,"Sheltered Wings, Inc",2019-02-19 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2018-12-06 00:00:00,Montana
09/08/2018-09/24/2018,2018-09-24 00:00:00,2 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-Pages-from-WIT-MT-AG-Notice_2.19.19.pdf,Wentworth Institute of Technology,2019-02-19 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2018-09-08 00:00:00,Montana
