Data Stolen,Date Notice Provided to Consumers,Dates of Breach,Individuals Affected,Name of Entity,State Reported,Start Date of Breach,End Date of Breach
Credit and debit card data.,2017-10-03 00:00:00,"Thursday, September 28, 2017","An unknown number of Wisconsin residents who made a purchase with their debit or credit cards at Whole Foods Market in Wauwatosa, WI during the time of the breach.",Whole Foods Market,Wisconsin,"Thursday, September 28, 2017",
Credit and debit card data.,2017-10-03 00:00:00,"Wednesday, September 27, 2017",An unknown number of Wisconsin residents who made a purchase with their debit or credit card at a Sonic restaurant during the time of the breach.,Sonic Drive-In,Wisconsin,"Wednesday, September 27, 2017",
"Name, address, phone number, email address, account login credentials, employee ID, state ID number, driver’s license number, ITIN number, medical and health insurance information, passport number, date of birth and Social Security number.",2017-09-29 00:00:00,"July 25-28, 2017",An unknown number of Wisconsin residents who are current or former employees of Briggs & Stratton or health care dependents and insurance beneficiaries of those employees.,Briggs & Stratton,Wisconsin,July 25,"28, 2017"
"Member names and IDs, provider information, addresses, phone numbers and dates of birth.",2017-09-22 00:00:00,Early August,"51,232 members of Network Health.",Network Health,Wisconsin,Early Augus,
"Names, Social Security numbers, birth dates, addresses, some credit card numbers and the numbers of some driver's licenses.",2017-09-07 00:00:00,"Between mid-May and July 29th, 2017",As many as 145.5 million U.S. consumers (updated from 143 million on 10/3/17).,Equifax,Wisconsin,mid,May 
"Name, organization or trust name, Social Security number or Taxpayer Identification number, and custodial bank or brokerage account number.",2017-08-17 00:00:00,"August 7, 2017","966 Wisconsin residents who had accounts with Fiduciary Management, Inc. were potentially impacted.","Fiduciary Management, Inc.",Wisconsin,2017-08-07 00:00:00,
"Customer name, address, email, telephone number and credit or debit card information.",2017-08-16 00:00:00,"Between April 2015 and June 23, 2017",148 Wisconsin residents who made Visa or MasterCard purchases through the Native Shoes website during the time of the breach.,Native Canada Footwear Ltd.,Wisconsin,April 2015," June 23, 2017"
"Medicare ID numbers (which includes a Social Security number), health plan ID numbers (HCID), Medicare contract numbers, dates of enrollment, and a limited number of last names and birthdates.",2017-07-24 00:00:00,"April 12, 2017",223 Wisconsin residents who were Medicare beneficiaries that had a Medicare Advantage plan.,"Anthem, Inc./Launchpoint Ventures",Wisconsin,2017-04-12 00:00:00,
"Names, addresses, account information, email addresses, and last four digits of credit card.",2017-07-16 00:00:00,"May 30, 2017",An unknown number of Wisconsin residents who were customers of Dow Jones & Company during the time of the breach.,Dow Jones & Company,Wisconsin,2017-05-30 00:00:00,
"Customer name, account PIN numbers, and a limited number of cell phone numbers.",2017-07-12 00:00:00,"June 13, 2017",An unknown number of Wisconsin residents who had accounts with Verizon during the time of the breach.,Verizon,Wisconsin,2017-06-13 00:00:00,
Login credentials.,2017-07-05 00:00:00,"May 31, 2017",3 Wisconsin residents who are current and former employees of QBE North America.,QBE North America,Wisconsin,2017-05-31 00:00:00,
"First name, last name, Social Security number.",2017-06-30 00:00:00,"May 31, 2017","5,500 Wisconsin residents who were members of Community Link, Inc. during the time of the breach.","Community Link, Inc.",Wisconsin,2017-05-31 00:00:00,
"Username and password, Social Security number, name, address and cellular telephone number.",2017-06-22 00:00:00,April 2017,An unknown number of Wisconsin residents who had accounts with U.S. Cellular during the time of the breach.,U.S. Cellular,Wisconsin,April 2017,
Username and password,2017-06-18 00:00:00,"May 26, 2017",Potentially 35 Wisconsin residents who have online accounts with Bed Bath & Beyond.,Bed Bath & Beyond,Wisconsin,2017-05-26 00:00:00,
Email addresses and passwords.,2017-05-25 00:00:00,Prior to June 2013,An unknown number of Wisconsin residents who were registered members of Allrecipes.com during the time of the breach.,Allrecipes.com,Wisconsin,Prior,June 2013
Patient's name; address; date of birth; date of service; provider's name; reason for visit; medical history and conditions; medications; diagnostic results; and/or social history.,2017-05-25 00:00:00,"March 16, 2017","2,036 Wisconsin residents who were patients of UW Health.",UW Health,Wisconsin,2017-03-16 00:00:00,
"Names, addresses, last four digits of the Social Security numbers, account numbers, IRA contributions for 2016, and Fair Market Value of the IRA.",2017-05-24 00:00:00,"May 15, 2017","13,581 Wisconsin residents who had accounts with BMO Harris Bank during the time of the breach.",BMO Harris Bank,Wisconsin,2017-05-15 00:00:00,
User email accounts; shared files; names; addresses; account numbers; driver's license numbers; and Social Security numbers.,2017-05-15 00:00:00,"March 7, 2017",16 Wisconsin residents who had online accounts with Capital First Trust Company.,Capital First Trust Company,Wisconsin,2017-03-07 00:00:00,
"Cardholder's name, addresss, card number, expiration data and CVV.",2017-05-15 00:00:00,"Between December 20, 2016 and March 3, 2017",An unknown number of Wisconsin residents who made a purchase at Kuru’s online website during the time of the breach.,Kuru,Wisconsin,2016-12-20 00:00:00," March 3, 2017"
"Payment card data including name, payment card account number, card expiration data, and card verification code.",2017-05-12 00:00:00,"Between April 4, 2016 and March 1, 2017","An unknown number of Wisconsin residents were affected by the breach. Three Brooks Brothers locations were affected in Wisconsin. They are located in Glendale, Pleasant Prairie, and Oshkosh.",Brooks Brothers,Wisconsin,2016-04-04 00:00:00," March 1, 2017"
Credit and debit card data.,2017-04-25 00:00:00,"Between March 24th, 2017 and April 18th, 2017",An unknown number of Wisconsin residents who made a purchase with their debit or credit card at a Chipotle restaurant during the time of the breach.,Chipotle,Wisconsin,"March 24th, 2017"," April 18th, 2017"
Payment card data.,2017-04-10 00:00:00,"March 31, 2016 - December 9, 2016",122 Wisconsin residents who had customer accounts with Payless Décor LLC.,Payless Décor LLC,Wisconsin,2016-03-31 00:00:00," December 9, 2016"
"Customer card number, expiration date, name, address and card verification value (CVV).",2017-04-07 00:00:00,Mid-September 2016 - February 2017,An unknown number of Wisconsin residents who made a purchase with a payment card on the GameStop.com website during the time of the breach.,GameStop,Wisconsin,Mid,September 2016 
"W-2 information including name, address, Social Security number and earnings information for 2016.",2017-03-29 00:00:00,"March 28, 2017",8 Wisconsin residents who are current and former employees of Toole Design Group LLC and received a W-2 for 2016.,Toole Design Group LLC,Wisconsin,2017-03-28 00:00:00,
"Patient first and last name, procedure codes, dates of service, patient account number or patient control number, provider identification number and Social Security number in some cases.",2017-03-10 00:00:00,"November 28, 2016",An unknown number of Wisconsin residents who were patients of Metropolitan Urology Group between 2003 and 2010.,Metropolitan Urology Group,Wisconsin,2016-11-28 00:00:00,
"Customer name, address, phone number, email address, payment card number, expiration date and security code (CVV), username and website account password.",2017-03-08 00:00:00,"December 14, 2016 to February 6, 2017","7,569 Wisconsin residents who used prAna’s e-commerce website between December 14, 2016 and February 6, 2017.",prAna,Wisconsin,2016-12-14 00:00:00,2017-02-06 00:00:00
2016 W-2 information.,2017-03-07 00:00:00,"February 13, 2017",1 Wisconsin resident who is an employee of QualiChem Inc. and received a W-2 for 2016.,QualiChem Inc.,Wisconsin,2017-02-13 00:00:00,
"User names, email addresses, telephone numbers and dates of birth.",2017-03-14 00:00:00,August 2014,46 Wisconsin residents who have accounts with the Wishbone app.,"Science Mobile LLC, DBA the Wishbone App",Wisconsin,August 2014,
"W-2 information including name, address, Social Security number and current earnings.",2017-03-07 00:00:00,"February 9, 2017",3 Wisconsin residents who are current and former employees of Dairy Management Inc. and received a W-2 for 2016.,Dairy Management Inc.,Wisconsin,2017-02-09 00:00:00,
"Name, Social Security number, John Deere financial account number and balance information.",2017-02-23 00:00:00,"January 24, 2017",2 Wisconsin residents with John Deere financial accounts.,John Deere Financial,Wisconsin,2017-01-24 00:00:00,
"W-2 information including name, address, Social Security number and wage information.",2017-02-21 00:00:00,"February 3, 2017",124 Wisconsin residents who are current and former employees of InterMountain Management LLC and received a W-2 for 2016.,InterMountain Management LLC,Wisconsin,2017-02-03 00:00:00,
"Encryption keys, cookies, passwords, private messages and other sensitive data.",2017-02-17 00:00:00,"Between September 22, 2016 and February 18, 2017",An unknown number of Wisconsin residents were affected by the breach.,Cloudflare,Wisconsin,2016-09-22 00:00:00," February 18, 2017"
"2016 W-2 information, name, address, Social Security number and wage information.",2017-02-17 00:00:00,"February 16, 2017",495 Wisconsin residents who were employees of Premier Aluminum LLC or Watry Industries LLC and received a W-2 for 2016.,Premium Aluminum LLC and Watry Industries LLC,Wisconsin,2017-02-16 00:00:00,
"Name, address, Social Security number and W-2 information.",2017-02-15 00:00:00,"February 7, 2017",96 Wisconsin residents who are current and former employees of TAB Products Co. LLC and received a W-2 for 2016.,TAB Products Co. LLC,Wisconsin,2017-02-07 00:00:00,
Credit and debit card data.,2017-02-09 00:00:00,"Between October 25, 2016 and January 19, 2017","At this time it is undetermined whether Wisconsin residents were affected by the breach, however there are four corporate locations in Wisconsin. They are located in Hudson, Menominee, Rice Lake and Superior.",Arby's,Wisconsin,2016-10-25 00:00:00," January 19, 2017"
"W-2 information including name, address, Social Security number, payroll and tax withholding information.",2017-02-02 00:00:00,"February 2, 2017",424 current and former employees of Dutchland Plastics who received a W-2 for 2017.,Dutchland Plastics,Wisconsin,2017-02-02 00:00:00,
"Name, address, Social Security number, wages and tax information.",2017-02-01 00:00:00,"January 30, 2017",32 Wisconsin residents who are current and former employees of Dental Services Group and received a W-2 for 2016.,Dental Services Group,Wisconsin,2017-01-30 00:00:00,
"W-2 information including name, address, Social Security number, tax filing status and salary.",2017-01-19 00:00:00,"January 18, 2017",478 current and former employees of the School District of Black River Falls who received a W-2 for 2017.,School District of Black River Falls,Wisconsin,2017-01-18 00:00:00,
"W-2 information including name, address, Social Security number and current earnings.",2017-01-19 00:00:00,"January 18, 2017",431 current and former employees of the Barron Area School District who received a W-2 for 2017.,Barron Area School District,Wisconsin,2017-01-18 00:00:00,
Names and Social Security numbers,2016-12-06 00:00:00,"November 3, 2016",An unknown number of Wisconsin residents who were applicants of the UW Law School from 2005-2006.,UW Law School,Wisconsin,2016-11-03 00:00:00,
"Names, addresses, date of birth and Social Security numbers",2016-11-23 00:00:00,"November 3, 2016","10,344 Wisconsin residents who are currently insured, or were previously insured, under the WINGA group life insurance program.",Wisconsin National Guard Association (WINGA),Wisconsin,2016-11-03 00:00:00,
"Names, addresses, phone numbers, and Social Security numbers",2016-11-08 00:00:00,"November 8, 2016","5,102 Wisconsin residents who were both customers and employees of Van's Honda in Wisconsin.",DealerBuilt,Wisconsin,2016-11-08 00:00:00,
"Name, shipping and billing address and credit card number",2016-11-09 00:00:00,"September 7 - October 24, 2016",202 Wisconsin residents who made a purchase at eileenfisher.com during the time of the breach.,Eileen Fisher,Wisconsin,September 7," October 24, 2016"
Name of provider,2016-09-30 00:00:00,"July 29 - August 2, 2016","6,923 Wisconsin residents who were patients of UW Health and recently received care at a UW clinic or facility.",UW Health,Wisconsin,July 29," August 2, 2016"
"Names, email addresses, telephone numbers, birth dates, encrypted passwords and security questions.",2016-09-22 00:00:00,Late 2014,An unknown number of Wisconsin residents who were Yahoo users during the time of the breach.,Yahoo! Inc.,Wisconsin,Late 2014,
"Names, addresses, driver's license numbers, dates of birth and last four digits of Social Security niumbers.",2016-09-19 00:00:00,"August 22, 2016","An unknown number of Wisconsin residents who purchased hunting and/or fishing licenses through the Active Network online license system of the Idaho, Oregon and Washington Departments of Fish and Wildlife.",Active Network,Wisconsin,2016-08-22 00:00:00,
"Names, addresses, Social Security numbers, dates of birth and health information.",2016-09-02 00:00:00,"July 5, 2016","2,865 Wisconsin residents who were patients of the Medical College of Wisconsin during the time of the breach.",Medical College of Wisconsin,Wisconsin,2016-07-05 00:00:00,
"Name, payment card number, security code and expiration date.",2016-08-18 00:00:00,"January 2, 2016 - July 17, 2016",An unknown number of Wisconsin residents who made a point of sale purchase at an Eddie Bauer retail store during the time of the breach.,Eddie Bauer,Wisconsin,2016-01-02 00:00:00," July 17, 2016"
"Name, Social Security number, compensation and tax withholding information.",2016-08-15 00:00:00,"July 25, 2016",258 Wisconsin residents.,Precision Pipeline LLC,Wisconsin,2016-07-25 00:00:00,
"Credit and debit card data: cardholder name, card number, expiration date and CVV.",2016-06-28 00:00:00,Between January 31st and June 2nd,An unknown number of Wisconsin residents who made purchases with their debit or credit card at Noodles & Company during the time of the breach.,Noodles & Company,Wisconsin,January 31s, June 2nd
"Name, address, Social Security number, compensation figures and dates of birth.",2016-05-25 00:00:00,"April 26, 2016",604 current and former employees of the Milwaukee Bucks who received a W-2 for 2015.,Milwaukee Bucks,Wisconsin,2016-04-26 00:00:00,
"W-2 information including names, addresses, Social Security numbers, income and taxes withheld.",2016-05-02 00:00:00,"April 29, 2016",An unknown number of current and former employees of Mercury Marine.,"Brunswick Corporation, DBA Mercury Marine",Wisconsin,2016-04-29 00:00:00,
"Names, dental patient identification number, appointment dates, dental insurance identification number.",2016-04-14 00:00:00,"Between February 7 and February 17, 2016","2700 patients who were seen at Oneida Health Care Center Between February 7 and February 17, 2016.",Oneida Health Center,Wisconsin,February 7," February 17, 2016"
"Names, Social Security numbers, addresses, earnings and withholding information.",2016-04-25 00:00:00,"April 16, 2016","1,911 current and former employees of Michels Corporation who received a W-2 for 2015.",Michels Corporation,Wisconsin,2016-04-16 00:00:00,
Credit card information,2016-04-14 00:00:00,"Between January 22, 2014 and January 26, 2016","1,729 Wisconsin residents who used their credit cards to make purchases during the time of the breach, were potentially affected.","Schwaab, Inc.",Wisconsin,2014-01-22 00:00:00," January 26, 2016"
"Names, social security numbers, insurance information physician’s name, diagnosis and treatment information.",2016-03-04 00:00:00,"October 3, 2015","1,785 Wisconsin residents who were patients of 21st Century Oncology during the time of the breach.",21st Century Oncology,Wisconsin,2015-10-03 00:00:00,
"Names, addresses and Social Security numbers.",2016-03-09 00:00:00,"February 14, 2016",210 Wisconsin residents and their family members who are employees of Ozaukee County and accessed their Greenshades accounts during the time of the breach.,Greenshades/Ozaukee County,Wisconsin,2016-02-14 00:00:00,
"Names, credit and debit card numbers, expiration dates and card verification codes.",2015-12-04 00:00:00,Between May 18th and November 9th,An unknown number of Wisconsin residents who made purchases with their debit or credit card during the time of the breach.,Kalahari Resort,Wisconsin,May 18th, November 9th
"Name, card number, expiration date, and CVV",2015-11-23 00:00:00,Between March 9th and June 8th,An unknown number of Wisconsin residents who were guests at the resort and made purchases between March 9th and June 8th.,Wilderness Hotel and Golf Resort,Wisconsin,March 9th, June 8th
"Name, address, card number, expiration date, and security code.",2015-10-28 00:00:00,April 2015 and late September 2015,"5,200 Wisconsin residents who purchased tickets on the website during the time of the breach.",Digital Theatre LLC DBA ShowTix4U,Wisconsin,April 2015, late September 2015
"Name, Social Security number, date of birth, and driver's license",2015-10-01 00:00:00,"Sept. 1, 2013 to Sept. 9, 2015",15 million consumers who had a credit check completed for T-Mobile service,Experian,Wisconsin,"Sept. 1, 2013","Sept. 9, 2015"
Name and debit card information,2015-09-29 00:00:00,September,An unknown number of Wisconsin residents who made purchases with their debit card at Kohl’s department stores.,Kohl's,Wisconsin,September,
"Health care records including: Name, date of birth, Social Security number, security question and answer, email address",2015-07-23 00:00:00,"May 7 to May 26, 2015","35,050 Wisconsin consumers",Medical Informatics Engineering,Wisconsin,May 7,2015-05-26 00:00:00
Information on federal background checks.,2015-06-15 00:00:00,Unknown,"The Office of Personnel Management stated that the breach expanded to include current, former, and prospective federal employees, and individuals for whom a federal background check was completed.",Office of Personnel Management,Wisconsin,Unkno,
Personnel data including personally identifiable information.,2015-06-04 00:00:00,April 2015,Approximately 4 million current and former federal government employees.,Office of Personnel Management,Wisconsin,April 2015,
Copies of up to five years' worth of taxpayer filings.,2015-05-26 00:00:00,February - May 2015,"Approximately 100,000 consumers’ tax filings were accessed. There were 200,000 fraudulent attempts to access the tax filings.",Internal Revenue Service,Wisconsin,February, May 2015
Payment cards,2015-05-04 00:00:00,"Between March 6th and April 17th, 2015","41,808 Wisconsin residents who used payment cards at the affected U.S. Sally Beauty stores during this time.","Sally Beauty Holdings, Inc.",Wisconsin,March 6th," April 17th, 2015"
"Credit & debit card numbers, customer names, expiration dates, CVV number",2015-05-01 00:00:00,"September 3, 2014 - April 2, 2015","People who used credit or debit card purchases at the restaurant, bar, and retail outlets at the Hard Rock Hotel & Casino between September 3, 2014 – April 2, 2015.",Hard Rock Hotel & Casino in Las Vegas,Wisconsin,2014-09-03 00:00:00," April 2, 2015"
"Member names, dates of birth, email addresses, addresses, telephone numbers, Social Security numbers, member identification numbers, bank account information, and claims information, including clinical information.",2015-03-17 00:00:00,"May 5, 2014","About 11 million consumers nationwide. Applicants and members of Premera Blue Cross, Premera Blue Cross Blue Shield of Alaska, and affiliate brands Vivacity and Connexion Insurance Salutation’s Inc. Members of other Blue Cross Blue Shield plans who sought treatment in Washington or Alaska are also affected.",Premera Blue Cross,Wisconsin,2014-05-05 00:00:00,
Names and driver's license numbers.,2015-02-27 00:00:00,"May 13, 2014","50,000 Uber drivers.",Uber,Wisconsin,2014-05-13 00:00:00,
"Names, dates of birth, Social Security numbers, medical ID numbers, street addresses, email addresses and employment information, including income data .",2015-02-04 00:00:00,Unknown,Anthem’s current and former members and Anthem employee,Anthem Inc.,Wisconsin,Unkno,
"Customer names, email addresses, phone numbers, mailing addresses, dates of birth, the last 4 digits of the passport number, the last 4 digits of the card number stored in the account, the card expiration date, AAdvantage numbers, information about miles, mileage activity and the amount of mileage points.",2015-01-15 00:00:00,"December 30, 2014","10,000 American Airlines AAdvantage accounts.",American Airlines Inc.,Wisconsin,2014-12-30 00:00:00,
"MileagePlus number, account balance and Premier status. Other account details may also have been viewed such as mailing addresses and the last four digits of the card number saved in the account.",2015-01-06 00:00:00,"December 9, 2014","7,000 United MileagePlus accounts.",United Airlines Inc.,Wisconsin,2014-12-09 00:00:00,
"Card holder names, billing addresses, card numbers, expiration dates and verification codes.",2015-01-13 00:00:00,Unknown,Consumers who used a debit or credit card on pnf.com.,Park 'N Fly Inc.,Wisconsin,Unkno,
"Card holder names, card numbers, expiration dates and verification codes.",2014-12-19 00:00:00,"July 20, 2014 – September 16, 2014","Consumers who shopped at one of the 115 affected stores between July 20, 2014 and September 16, 2014 – approximately 1.16 million payment cards.",Staples Inc.,Wisconsin,2014-07-20 00:00:00," September 16, 2014"
"Card numbers, expiration dates, verification codes and card holder names.",2014-12-09 00:00:00,"November 5, 2009 - September 24, 2014",Consumers who used their debit or credit cards at one of the affected merchants.,Charge Anywhere LLC,Wisconsin,2009-11-05 00:00:00," September 24, 2014"
"Card numbers, expirations dates, verifications codes and card holder names.",2014-12-04 00:00:00,Unknown,"Consumers who shopped at one of Bebe’s 200 retail stores between November 8 and November 26, 2014. UPDATE: December 5, 2014 Bebe Stores Inc. has now posted an official statement about the data breach. Consumers with questions related to this incident can call 1-888-236-0447 Monday through Friday 6:00 AM to 6:00 PM PST.",Bebe Stores Inc.,Wisconsin,Unkno,
"Unreleased movies, sensitive corporate data and Social Security Numbers, dates of birth, names and other personal identifying information of employees.",2014-11-24 00:00:00,"November 24, 2014",Sony Pictures Entertainment employees.,Sony Pictures Entertainment,Wisconsin,2014-11-24 00:00:00,
Mid-September,2014-11-10 00:00:00,Unknown,"All USPS employees and consumers who contacted the Postal Service Call Center with an inquiry by phone or email between January 1, 2014 and August 16th, 2014.",United States Postal Service (USPS),Wisconsin,Unkno,
Credit and debit card numbers,2014-10-10 00:00:00,"September - October 9, 2014",Consumers who used their debit or credit card to shop at Kmart stores between September 2014 and October 9th 2014.,Kmart (wholly owned subsidiary of Sears Holdings Corporation),Wisconsin,September," October 9, 2014"
