Name of Entity,Start Date of Breach,Individuals Affected,State Reported,Data Stolen,Date Notice Provided to Consumers,Date(s) of Discovery of Breach,Dates of Breach,Industry,Parent Company,Website,End Date of Breach,Link to PDF,Location of Breached Information,Reported Date,Type of Breach,Source(s)
"Abre Hospitality (outrigger),",2017-07-21 00:00:00,,{'New Hampshire'},UNK,,,"July 21, 2017",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/sabre-hospitality-outrigger-20170721.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
Abrhllc,2016-03-18 00:00:00,,{'Indiana'},UNK,2016-05-20,,2016-03-18 00:00:00,,,,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
Academy Mortgage Corporation,2018-05-21 00:00:00,357.0,{'Indiana'},UNK,2018-08-31,,2018-05-21 00:00:00,,,,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
Academy Mortgage Corporation Notice Of Security Incident To Consumers,Not Specified,,{'Vermont'},UNK,2018-03-09 00:00:00,,,,,,,https://ago.vermont.gov/blog/2018/03/09/academy-mortgage-corporation-notice-of-security-incident-to-consumers/,,,7,{'https://ago.vermont.gov/archived-security-breaches/'}
"Academy Of Art University,",2016-04-12 00:00:00,,{'New Hampshire'},UNK,,,"April 12, 2016",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/academy-of-art-20160412.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Academy Of Art University,",2016-03-04 00:00:00,3.0,{'Montana'},UNK,,,3/4/2016-3/4/2016,,,,2016-03-04, https://media.dojmt.gov/wp-content/uploads/Academy-of-Art-University.pdf ,,2016-04-13,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
"Academy Of Art University,",2017-11-08 00:00:00,3.0,{'Montana'},UNK,,,11/8/2017-11/8/2017,,,,2017-11-08, https://media.dojmt.gov/wp-content/uploads/Medical-College-of-Wisconsin.pdf ,,2017-11-17,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
Academy Of Art Unversity,2016-03-04 00:00:00,,{'California'},UNK,,,03/04/2016,,,,,https://oag.ca.gov/ecrime/databreach/reports/sb24-60936,,2016-04-13,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
Academy Of Art Unversity Dba Stephens Institute,2017-11-08 00:00:00,,{'California'},UNK,,,11/08/2017,,,,,https://oag.ca.gov/ecrime/databreach/reports/sb24-110849,,2017-11-17,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
Academy Of Nutrition & Dietetics,2016-04-22 00:00:00,665.0,"{'Indiana', 'Montana'}",UNK,,,4/22/2016-4/24/2016,,,,2016-04-24, https://media.dojmt.gov/wp-content/uploads/Academy-of-Nutrition-Dietetics.pdf ,,2016-07-28,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}"", \\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
"Academy Of Nutrition And Dietetics,",2016-08-02 00:00:00,,{'New Hampshire'},UNK,,,"August 02, 2016",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/academy-nutrition-dietetics-20160802.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
Acadiana Computer Systems (acs),2018-07-06 00:00:00,1.0,{'Montana'},UNK,,,7/6/2018-7/6/2018,,,,2018-07-06, https://media.dojmt.gov/wp-content/uploads/Acadiana-Computer-Systems-Inc.pdf ,,2018-08-17,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
Accenture,2017-10-12 00:00:00,,{'New Jersey'},UNK,,,"OCTOBER 12, 2017",Professional servicesTechnology services,,www.accenture.com,,,,,7,"{'{\'{""{\\\'https://www.cyber.nj.gov/data-breach-notifications/\\\'}""}\'}'}"
Acceptance Insurance,2016-03-22 00:00:00,1.0,{'Indiana'},UNK,2016-04-25,,2016-03-22 00:00:00,Financial services,,www.ally.com,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
Access Group Education Lending,2018-03-23 00:00:00,16500.0,{'Wisconsin'},UNK,April 2018,,"March 23, 2018",,,,,,,,7,"{'{""{\'https://datcp.wi.gov/Pages/Programs_Services/DataBreaches.aspx\'}""}'}"
"Access,",2012-11-07 00:00:00,,{'New Hampshire'},UNK,,,"November 07, 2012",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/4access-20121107.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
Accesslex Institute D/b/a Access Group,2018-03-23 00:00:00,,{'California'},UNK,,,03/23/2018,,,,,https://oag.ca.gov/ecrime/databreach/reports/sb24-135410,,2018-04-18,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
Acclaim Technical Services,2015-08-26 00:00:00,,{'California'},UNK,,,08/26/2015,,,,,https://oag.ca.gov/ecrime/databreach/reports/sb24-59396,,2015-12-23,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
"Accucom Corporation,",2012-02-22 00:00:00,,{'New Hampshire'},UNK,,,"February 22, 2012",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/accucom-20120222.pdf,,,1,{'https://www.doj.nh.gov/consumer/security-breaches/'}
Accuform Manufacturing Inc,2015-06-30 00:00:00,23.0,"{'Oregon', 'Montana'}",UNK,2015-10-19 00:00:00,2015-09-21 00:00:00,6/30/2015,,,,,,,2015-11-03 00:00:00,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\', ""{\'https://justice.oregon.gov/consumer/DataBreach/Home/\'}""}', ""{'https://justice.oregon.gov/consumer/DataBreach/Home/'}""}"
Accuform Signs,2015-06-30 00:00:00,,{'California'},UNK,,,06/30/2015,,,,,https://oag.ca.gov/ecrime/databreach/reports/sb24-58598,,2015-11-02,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
Accume Partners,2012-10-31 00:00:00,,{'California'},UNK,,,10/31/2012,,,,,https://oag.ca.gov/ecrime/databreach/reports/sb24-37161,,2012-12-10,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
